time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.5,0.01810969,0.02234991,0.01073863,0.01035219,0.01317318,0.02552943,0.01143757,0.05051751,0.05743908,0.03027088,0.02048049,0.01579789,0.02534659,0.02681244,0.0103519,0.01017355,0.01031649,0.01034789,0.01072258,0.01125636,0.01085064,0.01118573,0.01290512,0.02937136,0.27309149,0.02718892,0.03907306,0.23073356,0.43641654,0.02001172,0.33206013,0.0103873,0.0104297,0.0103069,0.03610665,0.05204454,0.01308094,0.010675,0.01027905,0.01049799,0.01645467,0.0180161,0.01106159,0.0118675,0.0116819,0.01066233,0.01011151,0.03278544,0.02464334,0.02362996,0.02558104,0.02315204,0.03119633,0.07460605,0.010183,0.0101115,0.01009155,0.24241435,0.0104205,0.01015089,0.11633086,0.01124504,0.01064672,0.01186453,0.09375193,0.01795708,0.01496163,0.03434781,0.03828197,0.27918867,0.04196343,0.01029272,0.01070687,0.22214114,0.17035013,0.01499982,0.12179625,0.01091954,0.01026227,0.01059934
0.51,0.01568239,0.01959909,0.01115798,0.01078378,0.01275956,0.02546729,0.12554544,0.21699385,0.04955094,0.02948949,0.02321062,0.01990033,0.03334189,0.03768752,0.01133993,0.01064228,0.01067446,0.01226234,0.01878289,0.03534583,0.01485611,0.02017953,0.02908152,0.07160035,0.22798155,0.03095146,0.04049273,0.19304367,0.36385988,0.01691931,0.27836751,0.02653355,0.02184248,0.01144354,0.11473016,0.04426545,0.01566565,0.01053401,0.01019356,0.0103713,0.01438669,0.01529197,0.01140414,0.01112441,0.01155579,0.01515479,0.01686362,0.03101889,0.02362221,0.02388872,0.03052192,0.04363928,0.06761284,0.10408209,0.03954157,0.03184778,0.01739962,0.20220265,0.08596464,0.0546275,0.09729248,0.07170993,0.04763174,0.01618015,0.07835577,0.02436727,0.02132384,0.03370224,0.0326972,0.23284367,0.04918048,0.01091175,0.01216985,0.23001257,0.14230183,0.01344466,0.15387946,0.01581391,0.01205886,0.01427729
0.52,0.01367917,0.01731382,0.01083822,0.01063919,0.01198852,0.02465663,0.14037484,0.22549033,0.04483408,0.02875524,0.02386106,0.02084476,0.03730537,0.0439089,0.01140425,0.010705,0.01050592,0.01840806,0.02869317,0.04059417,0.02165311,0.03185586,0.03934552,0.0907602,0.19298078,0.03129923,0.03891026,0.1743705,0.30373057,0.01438065,0.32667424,0.10982575,0.08845932,0.01248372,0.10984913,0.03929284,0.01646021,0.01036359,0.01013426,0.01025425,0.01322733,0.0132498,0.01287652,0.01458458,0.0120421,0.01397842,0.01618627,0.0294535,0.02030876,0.02435331,0.05919038,0.09465234,0.09198704,0.10346583,0.03339285,0.02688278,0.01604667,0.16975061,0.07205392,0.04571448,0.08189136,0.06069061,0.04040739,0.01585725,0.06566764,0.02060106,0.01789163,0.03024177,0.0279672,0.1947492,0.04254935,0.01770103,0.01779298,0.24404299,0.11926877,0.03521658,0.17926558,0.01845608,0.01374979,0.01677261
0.53,0.01257311,0.01588835,0.01080459,0.01062125,0.01182729,0.02442151,0.13815867,0.25565323,0.04354095,0.02915678,0.02385114,0.02055199,0.03884135,0.04600303,0.011235,0.01061894,0.01047792,0.01729678,0.02773906,0.03797145,0.02144701,0.03169358,0.03895505,0.10719539,0.17897427,0.03153413,0.03906503,0.17961002,0.25455893,0.01244569,0.36327546,0.09576314,0.07629688,0.01182525,0.10606261,0.03683806,0.01634947,0.01032434,0.01012015,0.01022727,0.01324551,0.01239803,0.0129014,0.01455883,0.01219328,0.01329345,0.01388043,0.02823931,0.01766711,0.02391647,0.05923479,0.09397308,0.08557574,0.08981056,0.0280302,0.02254093,0.01377236,0.14461938,0.06030484,0.03820992,0.07055115,0.05138552,0.0342214,0.01555866,0.05560056,0.01748938,0.01509883,0.027042,0.02477443,0.18331936,0.03802649,0.01508004,0.01585884,0.22441858,0.10090745,0.07489369,0.18200678,0.02212408,0.01759634,0.02075128
0.54,0.01207806,0.01491847,0.01075423,0.01056894,0.011726,0.02435396,0.11903367,0.24423621,0.04618297,0.02957282,0.02340206,0.01984369,0.0388052,0.04562094,0.01112354,0.01056204,0.01045361,0.01552644,0.02677094,0.04330274,0.01958721,0.02967946,0.03881469,0.09375692,0.18223084,0.03245588,0.04138456,0.18950191,0.25501332,0.01172034,0.37418943,0.0810447,0.06443423,0.0113806,0.10528575,0.037896,0.01566243,0.01033207,0.01012309,0.01023267,0.01872784,0.02076141,0.01287557,0.01412516,0.01304199,0.01321572,0.01188208,0.02821226,0.01654457,0.02575888,0.05732634,0.09142561,0.0748755,0.07638846,0.02349701,0.01887707,0.01178084,0.16645575,0.05043888,0.03192629,0.08220219,0.04349904,0.02896485,0.01588906,0.0573056,0.01515389,0.01291232,0.02411155,0.03009847,0.19505074,0.03657172,0.0128215,0.01394058,0.21519587,0.09255041,0.07067196,0.18714155,0.02087885,0.0159445,0.01931935
0.55,0.01207542,0.01446445,0.0107614,0.01054149,0.01177876,0.02440982,0.10106648,0.22688501,0.04829939,0.02997813,0.0230547,0.01915143,0.03828044,0.04456903,0.01097068,0.01047032,0.01044606,0.01391745,0.02547685,0.04960731,0.01781324,0.02741806,0.03807607,0.0823991,0.17851358,0.03334685,0.04303239,0.19465343,0.27375683,0.01221377,0.36420281,0.068548,0.05442724,0.01108127,0.118705,0.03910847,0.01501545,0.01035943,0.01013322,0.01025187,0.02630913,0.05999396,0.01237095,0.01312296,0.01326142,0.0133199,0.01059266,0.02758245,0.01644861,0.02600498,0.05747312,0.09295789,0.06873834,0.06636952,0.01972141,0.01582807,0.01057104,0.1636997,0.04221468,0.02668891,0.10088368,0.03703834,0.02463125,0.01595418,0.15057758,0.01382275,0.01191004,0.02185728,0.05377142,0.18681367,0.03769675,0.01099928,0.01233348,0.21448335,0.08634407,0.062545,0.19808905,0.02283566,0.01821091,0.02146107
0.56,0.01173267,0.01392308,0.01070388,0.0105258,0.01159358,0.02393205,0.08997164,0.23215344,0.04940099,0.03004039,0.02272787,0.01875679,0.03826925,0.04442386,0.01104229,0.0105185,0.0104299,0.0142822,0.02937713,0.06115801,0.01804971,0.02919788,0.04171296,0.073728,0.18169567,0.03367883,0.04404952,0.19618976,0.2591911,0.01218823,0.37013411,0.05939885,0.04657395,0.01110667,0.13706164,0.03920324,0.01470882,0.0103573,0.01013242,0.01025043,0.02968526,0.06162174,0.0125247,0.0133517,0.01365289,0.01327031,0.01060131,0.02794108,0.01627997,0.02668131,0.06192789,0.10113933,0.0715532,0.06150821,0.01661868,0.01333464,0.01052991,0.1742096,0.0353762,0.02233318,0.10467498,0.03177964,0.02110573,0.01610586,0.13210982,0.01319293,0.011644,0.02017226,0.05152512,0.18282772,0.03668643,0.01076242,0.01194523,0.22595751,0.07994808,0.0676524,0.21282139,0.02155996,0.01648658,0.02008382
0.57,0.01151727,0.01359424,0.01064032,0.0104993,0.0114154,0.02331872,0.09020575,0.24815376,0.05039738,0.03010055,0.02247218,0.01834797,0.03883661,0.0452816,0.01104823,0.0105299,0.01039675,0.01882071,0.03703721,0.06204515,0.02157718,0.03556374,0.0460224,0.07249707,0.19348627,0.03399265,0.04461943,0.19965075,0.2509037,0.01200595,0.38500313,0.05860844,0.04208076,0.0110777,0.15280077,0.03931976,0.01441824,0.01033298,0.01012355,0.01023357,0.0294375,0.05517751,0.01298135,0.01475843,0.01402718,0.01318476,0.01069448,0.02750534,0.01530505,0.02678545,0.06730919,0.10987968,0.07933936,0.06250648,0.01414479,0.01144058,0.01058027,0.17903831,0.02970318,0.01872199,0.10345739,0.0276241,0.01833001,0.01607933,0.11700942,0.01234268,0.01108584,0.01898118,0.04673641,0.18961833,0.03428844,0.01101836,0.0122982,0.23789297,0.07610166,0.09773652,0.22401577,0.02280798,0.01763176,0.02135401
0.58,0.01135336,0.0133698,0.01058499,0.01047571,0.01126104,0.02272069,0.09810672,0.2655525,0.051595,0.03022497,0.02224864,0.01802256,0.03968881,0.0466172,0.0110567,0.01054968,0.01036947,0.0304398,0.04375894,0.05987491,0.02674331,0.04405664,0.04955356,0.07728736,0.21372273,0.03424631,0.04511921,0.20820259,0.25589026,0.01176048,0.40612244,0.07388166,0.04394071,0.01103053,0.16154866,0.04002393,0.01422857,0.01030791,0.01011444,0.01021624,0.02878617,0.04929748,0.01318435,0.01564463,0.01408151,0.01305074,0.01075414,0.02697035,0.01443073,0.02692189,0.06825394,0.1110918,0.07989542,0.06109169,0.01237633,0.01089474,0.010632,0.19108641,0.02500101,0.01574291,0.10322746,0.0244662,0.01624595,0.01585853,0.10409901,0.01162785,0.01070187,0.01808758,0.04312883,0.20648423,0.03249761,0.01115858,0.0124761,0.24036663,0.07671339,0.10928047,0.22460979,0.02554107,0.02445083,0.02517041
0.59,0.01126619,0.01321886,0.01055128,0.01045123,0.01117541,0.02228786,0.11199476,0.28024357,0.052576,0.03045699,0.02209083,0.01770964,0.04057572,0.04804148,0.01100074,0.01052218,0.01034935,0.03086158,0.04485306,0.06026149,0.02768596,0.04546167,0.05078359,0.08245976,0.22326932,0.03449223,0.04539023,0.22049538,0.27538693,0.01158262,0.43171238,0.07856829,0.04702147,0.01091724,0.16541736,0.04184435,0.01409505,0.01028806,0.01010725,0.01020253,0.03419532,0.06811883,0.01328006,0.01596601,0.01458814,0.01294821,0.0106256,0.02655528,0.01451573,0.02692614,0.06647183,0.10852827,0.07560755,0.05727074,0.01133807,0.01068412,0.01053097,0.20857046,0.02109077,0.01330402,0.11747253,0.02183834,0.01464747,0.01565586,0.12959273,0.01162547,0.01080262,0.01712053,0.04517676,0.23102991,0.03153424,0.01098488,0.01222947,0.24232513,0.08434811,0.0983189,0.22321126,0.02775613,0.03137459,0.02837603
