time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.04769765,0.10466512,0.0111089,0.01199592,0.01780906,0.01119623,0.0100341,0.0122687,0.0113495,0.06015459,0.01465364,0.01313239,0.02458538,0.01012422,0.0100351,0.01002272,0.01003002,0.08265831,0.01008044,0.01003286,0.04532696,0.01146463,0.01010308,0.01391628,0.08971388,0.01002576,0.0100134,0.01003066,0.04031227,0.0174361,0.01177784,0.01004909,0.01024669,0.0643943,0.02237965,0.14908967,0.32875018,0.01034818,0.0101731,0.01023695,0.02023717,0.04896476,0.01038154,0.01089833,0.01097046,0.01036165,0.0100364,0.01106964,0.0126917,0.04749489,0.01222563,0.01117854,0.02363167,0.01007219,0.0100548,0.01003441,0.01003622,0.09497607,0.01059407,0.01005867,0.04221522,0.01534965,0.01029002,0.01083493,0.06165952,0.01003451,0.01001823,0.01004542,0.02233817,0.05308144,0.01151484,0.01004579,0.01015534,0.06623805,0.0275458,0.10713578,0.24048329,0.01556796,0.03808949,0.02058022
0.01,0.04802369,0.10602299,0.01089711,0.01158159,0.01729168,0.01114294,0.01003335,0.01233643,0.01122915,0.06057806,0.0148455,0.0132528,0.02589121,0.01008372,0.0100347,0.01002226,0.01002834,0.08454466,0.01008162,0.01003294,0.04622361,0.01160428,0.01010578,0.01388803,0.09108015,0.01002558,0.0100133,0.01003068,0.0415317,0.0187703,0.01190547,0.01005062,0.01023322,0.06326192,0.02336362,0.15012324,0.33223941,0.01026137,0.01012472,0.01017325,0.01930927,0.04720536,0.01033039,0.01075296,0.01081274,0.01032948,0.01003595,0.01102874,0.01252985,0.04741647,0.01225911,0.01119385,0.02543812,0.01008073,0.01005604,0.01003498,0.01003597,0.09639192,0.01071901,0.01006061,0.04258438,0.01575953,0.0103096,0.01076174,0.06125341,0.01003455,0.01001825,0.01004641,0.022151,0.05510818,0.01152377,0.01004428,0.01014667,0.06538161,0.02833215,0.10691541,0.24063095,0.01548455,0.03808579,0.02052806
0.02,0.04866777,0.1076319,0.01089729,0.01154273,0.01742588,0.01128362,0.01003278,0.01255689,0.01143494,0.06105857,0.01516921,0.01342318,0.02600654,0.01196444,0.01003442,0.01002199,0.01002771,0.0862987,0.01008144,0.01003291,0.04694102,0.01192016,0.01010746,0.01416686,0.09174528,0.01002544,0.01001321,0.01003058,0.04233468,0.02069611,0.01217954,0.01005085,0.0102478,0.06098221,0.02414872,0.15079844,0.33601306,0.0102399,0.01010754,0.01015455,0.01872534,0.04559885,0.01033199,0.01073177,0.01079773,0.01034869,0.01003563,0.01114139,0.01268809,0.04748976,0.01250353,0.01134042,0.02727156,0.01009062,0.01005663,0.01003522,0.01003586,0.09782328,0.01099016,0.01006179,0.04295216,0.01645078,0.01037745,0.01081066,0.06084056,0.01003447,0.0100182,0.0100472,0.02222895,0.05717265,0.01174496,0.01004363,0.01014972,0.06430639,0.0291488,0.10683823,0.24131453,0.01562055,0.03789888,0.02050424
0.03,0.04963466,0.10940681,0.01098975,0.01171639,0.01799062,0.01142031,0.01003266,0.01253904,0.01161822,0.06136681,0.01537034,0.01346036,0.02459449,0.01573322,0.01003448,0.01002204,0.01002814,0.08786293,0.01008161,0.01003275,0.04740103,0.01211254,0.010108,0.01437755,0.09143493,0.01002535,0.01001315,0.01003026,0.0424919,0.02315225,0.01220974,0.01005177,0.01025877,0.05770475,0.02440707,0.15100911,0.33988147,0.01027134,0.01012491,0.01017451,0.01823637,0.04421799,0.01032125,0.01068481,0.01076011,0.01035732,0.01003528,0.01121211,0.01276913,0.04760824,0.01268507,0.01144627,0.0287793,0.01010304,0.01005707,0.01003533,0.01003568,0.09927037,0.01126025,0.01006252,0.04329958,0.0170359,0.01044075,0.01083062,0.06037867,0.01003427,0.01001808,0.01004753,0.02230077,0.05915437,0.01190848,0.01004292,0.01015016,0.06307508,0.0298196,0.10686053,0.24250442,0.01564996,0.03770507,0.02042321
0.04,0.0507479,0.11117158,0.01111127,0.01197562,0.01877532,0.01154676,0.01003257,0.01241316,0.01178315,0.06139838,0.01542742,0.01334983,0.0226439,0.01939401,0.0100347,0.01002218,0.01002864,0.08925006,0.01008255,0.01003276,0.04766502,0.01221414,0.01010772,0.0145484,0.09052043,0.01002534,0.01001313,0.01003004,0.04233915,0.02550782,0.01211441,0.01005229,0.01026229,0.05415358,0.0243223,0.15037323,0.34327441,0.01032014,0.01016027,0.01020821,0.01777779,0.0429821,0.01029927,0.0106232,0.01070143,0.01035052,0.01003475,0.01123508,0.01277938,0.0477405,0.01280466,0.01150523,0.02986311,0.01011622,0.0100577,0.01003549,0.01003523,0.10076116,0.01153066,0.0100637,0.04361815,0.01753663,0.01049293,0.01081801,0.05980028,0.01003402,0.01001794,0.01004805,0.02230233,0.0609627,0.01200583,0.01004176,0.01014601,0.06172678,0.03032633,0.10691931,0.24411645,0.01562054,0.03755199,0.02031089
0.05,0.05158014,0.11231887,0.01187928,0.01315511,0.02018492,0.01224552,0.01003907,0.01301198,0.01296209,0.06160938,0.01598893,0.0135914,0.02162145,0.02328975,0.0100388,0.01002566,0.01003975,0.09062049,0.01009023,0.01003128,0.04789878,0.01316248,0.01012412,0.01555113,0.08928448,0.01002584,0.01001331,0.01002768,0.04229429,0.0280888,0.01266388,0.0100748,0.01045557,0.05005294,0.02485731,0.14888323,0.3458489,0.01074344,0.0103253,0.0105285,0.01814131,0.04145007,0.01048929,0.01097954,0.01105682,0.01055995,0.01003899,0.01180553,0.01379741,0.04824571,0.01359433,0.0120184,0.03083916,0.01018813,0.01005899,0.0100352,0.0100403,0.10237034,0.01259553,0.01005614,0.04400458,0.01893931,0.01085886,0.0112445,0.0590254,0.01003372,0.01001761,0.01004243,0.02284617,0.06267136,0.01276311,0.01005338,0.01022669,0.06025146,0.03114093,0.10689733,0.24592196,0.01652595,0.03697735,0.02079039
0.06,0.05240837,0.11329588,0.01245966,0.01399181,0.02133514,0.01282191,0.01004096,0.013355,0.01390258,0.06131374,0.01621003,0.01357675,0.02042649,0.02508843,0.01004016,0.01002646,0.01004449,0.09167766,0.01010947,0.01003268,0.04790547,0.01378975,0.01015068,0.01625447,0.08764377,0.01002578,0.01001328,0.01002992,0.04208832,0.02991799,0.01297569,0.01009142,0.01060997,0.04668439,0.02494808,0.14631414,0.34725687,0.01106122,0.0104836,0.01077351,0.01817522,0.03990682,0.01061185,0.01119831,0.01125291,0.01069819,0.01004095,0.01218621,0.01444225,0.04860748,0.01409899,0.01233553,0.03123562,0.01026576,0.01006584,0.01003728,0.01004324,0.10409311,0.01358169,0.01006161,0.04432975,0.01995241,0.01120946,0.01151883,0.0580413,0.01003345,0.01001757,0.01004816,0.02302902,0.06415525,0.01326549,0.01006114,0.01028845,0.05871404,0.03164836,0.10677784,0.24792089,0.01706508,0.0367313,0.02110922
0.07,0.05330031,0.11410599,0.01266241,0.01441371,0.02224931,0.01296024,0.0100415,0.01313058,0.01412056,0.06047248,0.01586172,0.01314723,0.01880516,0.02443557,0.01004117,0.01002707,0.01004617,0.09234361,0.01011424,0.01003296,0.04760428,0.01381096,0.01015071,0.01636329,0.08542333,0.01002613,0.01001344,0.01002977,0.04149407,0.03109182,0.01273317,0.01009281,0.01060723,0.04430563,0.02435483,0.1426876,0.34736545,0.01117603,0.01055885,0.01087805,0.01760123,0.03821591,0.01055442,0.01109437,0.01112669,0.01065078,0.01004018,0.01212832,0.01435973,0.04871734,0.01409015,0.01229572,0.03088954,0.01026304,0.01006755,0.01003762,0.01004243,0.10602822,0.0141405,0.01006344,0.04456937,0.02041418,0.01128794,0.01143611,0.05676811,0.01003312,0.01001738,0.01004862,0.02261933,0.06527526,0.01323518,0.01005916,0.01027344,0.05719709,0.03174852,0.10651189,0.25000995,0.01700931,0.03700319,0.02111542
0.08,0.05472466,0.11527641,0.01122614,0.01329273,0.02333132,0.0112775,0.01003253,0.01098865,0.01139441,0.05816176,0.01361781,0.01140707,0.01474558,0.01923834,0.01003652,0.01002316,0.01002958,0.09241149,0.01009286,0.01003353,0.0467721,0.0114728,0.01011341,0.01408504,0.08199445,0.01002648,0.01001364,0.01002929,0.03967239,0.03132684,0.01078778,0.01004984,0.0101809,0.04413418,0.02141291,0.13795492,0.34609868,0.01039207,0.01024531,0.01029672,0.01454881,0.03649139,0.0101459,0.01023552,0.01025174,0.01018762,0.01003315,0.01062117,0.01147954,0.0478149,0.01211449,0.01096295,0.02937284,0.01012136,0.01006356,0.01003746,0.01003381,0.10840572,0.01241848,0.01007342,0.04475241,0.01890237,0.01039463,0.01035688,0.05526044,0.01003273,0.0100172,0.01004968,0.02034897,0.06603278,0.011237,0.0100373,0.01010899,0.05571764,0.03099439,0.10615236,0.25226791,0.01466934,0.03852951,0.02014338
0.09,0.05523565,0.11505382,0.01147379,0.01423802,0.02476711,0.01140145,0.01003302,0.01086267,0.0116529,0.05705602,0.01304794,0.01102127,0.01323541,0.0155473,0.01003748,0.01002373,0.01003062,0.09247598,0.01009611,0.01003417,0.04608262,0.01147784,0.01011548,0.01418614,0.0788859,0.01002703,0.01001391,0.01002942,0.03863408,0.03249048,0.01067596,0.01005035,0.0101815,0.04304984,0.02057183,0.13305684,0.34372113,0.01048892,0.01035345,0.01039024,0.01366177,0.03368425,0.01013786,0.0102162,0.01022253,0.01017819,0.01003314,0.01058927,0.01143499,0.04786012,0.01206373,0.01090771,0.02831154,0.01011526,0.01006613,0.01003859,0.01003392,0.11092534,0.01350469,0.01007757,0.04498849,0.01970857,0.0104443,0.01032731,0.05333157,0.01003246,0.01001704,0.01005089,0.01943436,0.0666048,0.01119508,0.01003718,0.010108,0.05418686,0.03098829,0.10544505,0.25406993,0.01471862,0.0392644,0.0204102
