time,pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,femur_r_qw,femur_r_qx,femur_r_qy,femur_r_qz,tibia_r_qw,tibia_r_qx,tibia_r_qy,tibia_r_qz,patella_r_qw,patella_r_qx,patella_r_qy,patella_r_qz,talus_r_qw,talus_r_qx,talus_r_qy,talus_r_qz,calcn_r_qw,calcn_r_qx,calcn_r_qy,calcn_r_qz,toes_r_qw,toes_r_qx,toes_r_qy,toes_r_qz,femur_l_qw,femur_l_qx,femur_l_qy,femur_l_qz,tibia_l_qw,tibia_l_qx,tibia_l_qy,tibia_l_qz,patella_l_qw,patella_l_qx,patella_l_qy,patella_l_qz,talus_l_qw,talus_l_qx,talus_l_qy,talus_l_qz,calcn_l_qw,calcn_l_qx,calcn_l_qy,calcn_l_qz,toes_l_qw,toes_l_qx,toes_l_qy,toes_l_qz,torso_qw,torso_qx,torso_qy,torso_qz,humerus_r_qw,humerus_r_qx,humerus_r_qy,humerus_r_qz,ulna_r_qw,ulna_r_qx,ulna_r_qy,ulna_r_qz,radius_r_qw,radius_r_qx,radius_r_qy,radius_r_qz,hand_r_qw,hand_r_qx,hand_r_qy,hand_r_qz,humerus_l_qw,humerus_l_qx,humerus_l_qy,humerus_l_qz,ulna_l_qw,ulna_l_qx,ulna_l_qy,ulna_l_qz,radius_l_qw,radius_l_qx,radius_l_qy,radius_l_qz,hand_l_qw,hand_l_qx,hand_l_qy,hand_l_qz
0.0,0.9996441779662927,0.02452891971340526,0.0061783612655124725,-0.008466251110208597,0.9707724535753042,-0.012747631713394625,-0.015261247766015507,0.23917657824650806,0.9977244136847079,0.0033840054672238866,0.017874678361423667,-0.0649233295355301,0.9999945915113223,-1.3010426069826053e-18,-8.673617379884035e-19,0.0032889129059993916,0.9999998160518367,6.369568224280804e-05,0.00010555199662537268,-0.0005938837669400288,0.9974744545005674,-0.05591035691496259,-0.04295285940631968,0.008590487603036323,0.9990693160451911,-0.025058624165991663,-9.316205767592733e-08,0.035107934885052844,0.984946779178257,-0.03826042223160761,0.021503508713875817,-0.16719324564715296,0.9954377675701164,-0.005493079326771847,-0.024478584666773773,-0.09205583016433086,0.9999908189182023,2.6020852139652106e-18,-3.903127820947816e-18,-0.004285099684173538,0.9946146062558743,0.010883924394886602,0.01803607262766256,0.10147918651826274,0.995440255245349,-0.0750868144906973,-0.05768507954604403,-0.011536902724747278,0.999069316045191,0.025058624165991646,-9.316205767245789e-08,0.03510793488505279,0.9950286671546097,0.0010607502894453091,-0.04830986333896559,-0.08708032759191299,0.9902305880443751,-0.06498435061532651,-0.11377305222895773,-0.0477085868885479,0.960842867737429,0.06263630096761984,0.006170599270124785,0.26985107193386326,0.5918893185143691,0.045457921481829734,0.8047348218511727,0.0015743263032025195,1.0,0.0,5.2909066017292616e-17,0.0,0.9936693381328882,0.09439812832019487,-0.029613796509532435,0.053228402948839806,0.8370707047166388,-0.12366926855544358,-0.012183246559843531,0.5327946281855828,0.5822766562028581,-0.04585109821952743,-0.811695171151208,0.001587943038411449,1.0000000000000002,5.551115123125783e-17,-4.163336342344337e-17,2.7755575615628914e-17
0.01,0.9997695499766034,0.019397785071574983,0.00652031228190622,-0.0064852449177588934,0.9712441688896846,-0.005472255150687453,-0.02249457663121713,0.23695740723500044,0.996930905850994,0.004157857552828347,0.020495657172819225,-0.07544142904758194,0.9999995931516461,1.734723475976807e-18,4.7704895589362195e-18,0.0009020512969558081,0.9999143386549333,0.0013745021700751763,0.002277728149049128,-0.012815539416310862,0.9973479600534504,-0.05729159920733273,-0.04401399207053204,0.008802712053820022,0.9990588453099031,-0.0251991259515879,-9.368441017919282e-08,0.03530478238582821,0.9849216345881245,-0.030473185687221623,0.02367657854057345,-0.16864216051432945,0.9938175918727614,-0.006826305791957861,-0.027948465097273133,-0.10723282581451715,0.999945438338891,-8.673617379884035e-19,-1.1275702593849246e-17,-0.010446068410809,0.9953248929054497,0.010142613593077512,0.01680762459954311,0.09456737655014769,0.9958616482416803,-0.0715406640651002,-0.05496076675197614,-0.010992045511334592,0.9990588453099032,0.025199125951587912,-9.368441022429563e-08,0.035304782385828265,0.9948702471844582,0.008204210631687006,-0.047989701572238384,-0.08867282976229854,0.9901337884014396,-0.0656240700612992,-0.11459601096187143,-0.046864877744741545,0.9611054146817668,0.06243014001729846,0.006150289376501899,0.2689628848510424,0.5911323214214482,0.04548924179247782,0.8052892806514895,0.0015754110071940358,1.0,0.0,-1.734723475976807e-17,0.0,0.9943136308170935,0.09059043538816974,-0.02916166823631534,0.04778465960102197,0.8399101609449461,-0.1226816080052856,-0.012085947431769464,0.5285395675570072,0.5816928435663222,-0.04587466238629323,-0.8121123240901509,0.0015887591269245493,1.0,0.0,-1.3877787807814457e-16,2.7755575615628914e-17
0.02,0.9998660637193425,0.014061454944868115,0.006909229873178489,-0.004732087254141457,0.9715944287454943,0.0016924707836681889,-0.02874637366995654,0.2348936941984398,0.9959776591221604,0.005024678646580424,0.02314776407652419,-0.08641432839696114,0.9999972731399499,0.0,-3.0357660829594124e-18,-0.0023353185359188955,0.9996595092707382,0.002740172857973891,0.004540821388100226,-0.025548736141281447,0.9970316664317567,-0.06060701247033669,-0.046561042163169634,0.009312117074755502,0.9990499280742581,-0.02531816615832294,-9.412697362948946e-08,0.035471561527375434,0.9849930900137208,-0.022163987599321547,0.026366326049552503,-0.16912181151338257,0.9918400541540877,-0.00834441829405333,-0.031439887595402394,-0.1232688570845803,0.9998321675604642,0.0,2.168404344971009e-18,-0.01832039058928639,0.9960989519560354,0.009266782521158647,0.015356259058074136,0.08640133078567139,0.9962244904508724,-0.06833867048399636,-0.052500850777583846,-0.010500067143081437,0.9990499280742582,0.025318166158322955,-9.412697361300959e-08,0.03547156152737549,0.9946774003099301,0.015583225293371262,-0.04784062471834221,-0.08991833533097392,0.9900748351641864,-0.06632905191443612,-0.11497612792736281,-0.04618189746612798,0.9612868919861363,0.06228720586410709,0.00613620825472848,0.2683470928285442,0.5904479657407984,0.04551750359438983,0.8057895951266232,0.001576389787056251,1.0,1.3877787807814457e-17,1.3270634591222574e-16,0.0,0.9949500321308997,0.08654363935805771,-0.028458520769604707,0.042127718250459426,0.8431552178573094,-0.12153888826815518,-0.011973372687300744,0.523616477572111,0.5813259616218173,-0.04588945239789499,-0.812374149465434,0.0015892713435752825,1.0,-1.1102230246251565e-16,2.7755575615628914e-17,-8.326672684688674e-17
0.03,0.99992998826599,0.008517061893840798,0.00728458345070656,-0.003796454533311494,0.9717400620716871,0.008706770858098772,-0.033166727530469696,0.2335495923590068,0.9948335432881854,0.006001774813791067,0.025854134650543557,-0.09798858897458618,0.9999786305623289,-2.6020852139652106e-18,2.6020852139652106e-18,-0.006537462710357711,0.9992603456761029,0.004038279406648467,0.006691952096187322,-0.03765198050371128,0.9964712684642931,-0.06607161018936641,-0.050759192747230085,0.010151738954335021,0.999039675247609,-0.025454346457417495,-9.463325988372934e-08,0.03566235448717921,0.9853926088955619,-0.013235621562506008,0.029595230519663552,-0.16718357271676032,0.9892794737786754,-0.010182871572738207,-0.035165438547312466,-0.1413712269823518,0.9995866175856262,-8.673617379884035e-19,2.168404344971009e-19,-0.028750546842224306,0.9969946883611124,0.008135429755319269,0.013481460969457073,0.07585286001565156,0.99654548330055,-0.06537433762266265,-0.05022351649370409,-0.010044604754685521,0.9990396752476088,0.025454346457417468,-9.463325986724946e-08,0.03566235448717919,0.9945362468641606,0.023131011289960125,-0.04777090933092118,-0.08989188067756937,0.9900126273222005,-0.06701802223870676,-0.11532447877356583,-0.04564917341432721,0.9614213005347225,0.06218111451485803,0.006125756692421484,0.2678900277740073,0.5896376729540213,0.04555090125802257,0.8063808289978086,0.0015775464351961005,1.0,1.3877787807814457e-17,7.892991815694472e-17,6.938893903907228e-18,0.9955759846056105,0.08237112708990195,-0.027218381201145534,0.0360917722382472,0.8470238484456698,-0.12015653166080414,-0.011837190177468603,0.5176609788193771,0.5809425399865833,-0.04590489411055543,-0.8126475118076124,0.001589806130332161,0.9999999999999999,5.551115123125783e-17,1.3877787807814457e-17,5.551115123125783e-17
0.04,0.9999655265165903,0.0034384336777157306,0.007355748924135674,-0.001736637557888835,0.9720948621251022,0.01475385264315087,-0.035685018320780595,0.23138816376298998,0.9933146155250763,0.007222292208483733,0.028901370007554203,-0.11152857880925214,0.999922837212434,2.6020852139652106e-18,-8.673617379884035e-19,-0.012422544869547303,0.9989939528102297,0.00470936340096708,0.007804025207103002,-0.04390901200797967,0.9960196472749737,-0.07016446770965877,-0.053903510604234664,0.010780596356238972,0.9990342613522568,-0.025525961346492536,-9.489950715708961e-08,0.0357626892400288,0.9857072413467255,-0.0053635841116030985,0.030627471144272257,-0.16557301813222255,0.9863056711625932,-0.012184289066501748,-0.03873312356658373,-0.1598512160455041,0.9991627058020499,0.0,-3.0357660829594124e-18,-0.04091316822646146,0.9978977846450936,0.006805695635458348,0.011277919278873474,0.06345472751553421,0.9967716468333343,-0.06320170130625939,-0.04855439922476099,-0.009710784575888365,0.9990342613522569,0.025525961346492515,-9.489950717964102e-08,0.035762689240028844,0.9942097305170219,0.0302720774243089,-0.047299735234783674,-0.09161521773377579,0.9899873550142115,-0.06754622131284994,-0.11560730138626348,-0.04469336376361763,0.9614773746930895,0.06213679612279331,0.006121390677291238,0.2676990943149698,0.5892149997282279,0.04556829458696644,0.8066887405127388,0.0015781488115115955,0.9999999999999999,0.0,1.3877787807814457e-16,2.0816681711721685e-17,0.9960954764259992,0.07870313499472995,-0.026536285573916588,0.02992396921537277,0.8508223109930139,-0.11877733241115933,-0.011701318713928429,0.5117190826636728,0.5810250943175468,-0.04590157066210243,-0.8125886772940322,0.0015896910306499312,0.9999999999999999,-8.326672684688674e-17,-6.938893903907228e-17,0.0
0.05,0.9999637852883458,-0.001639831638468979,0.007252018153009661,-0.00414092944988316,0.9713302334643525,0.02112397287083985,-0.03689230732549803,0.23390235780863688,0.9915737795681718,0.008541591086532446,0.031863502534055455,-0.12527249538850663,0.9998118572910422,-3.469446951953614e-18,4.336808689942018e-18,-0.019397165262914018,0.9983824695943644,0.0059705291113519975,0.009893940160821946,-0.055667828562669754,0.9943224569956287,-0.08376294829410598,-0.06435047708616413,0.01286996915452928,0.9990030763788396,-0.02593461809121605,-9.641879658572883e-08,0.03633523042541288,0.9872221595328778,0.0045758263934219945,0.037709784220543226,-0.15475607165503422,0.9816080447827864,-0.015127027793591749,-0.04326231613315773,-0.18532455706312043,0.998207738730418,8.673617379884035e-19,-7.968885967768458e-18,-0.05984405015292196,0.9988983589322794,0.004927909261650527,0.008166184008721784,0.04594668292101067,0.997200239322941,-0.05886339525503856,-0.045221516729249595,-0.009044214616267587,0.9990030763788398,0.025934618091216062,-9.641879661695385e-08,0.03633523042541298,0.9944122953448804,0.037326164053592445,-0.04662142042853862,-0.0870481906830711,0.9897273183158133,-0.06803484993821982,-0.11735426047296454,-0.04515608621344923,0.9615203893762445,0.06210277613968848,0.006118039207302212,0.26755252868503643,0.5868381651008516,0.04566574805968631,0.808413944843503,0.0015815238792763753,1.0,-6.938893903907228e-18,1.93421667571414e-16,-6.938893903907228e-18,0.9967443526986852,0.07358429521063428,-0.02375263016527702,0.02284424264151949,0.8567788525043005,-0.11656896269735795,-0.011483761732854526,0.5022049363094101,0.5791704625714393,-0.045976062280092767,-0.8139073913262367,0.001592270869537199,0.9999999999999999,0.0,-1.3877787807814457e-17,6.938893903907228e-17
0.06,0.9999452961413583,-0.0069086311341972,0.007040587256481901,-0.0034793205812124507,0.9713910604278677,0.027451187236964852,-0.038590932890841784,0.23271566328616228,0.9895595100201674,0.009987588066252984,0.03479199866790156,-0.13950534413404198,0.9996189207257232,0.0,-2.6020852139652106e-18,-0.0276045888783015,0.9984163102959153,0.005907793647307808,0.009789979370138528,-0.05508289764748991,0.9937117488885663,-0.08813941657184836,-0.06771267752634376,0.013542402645558678,0.9989882726478221,-0.02612636870307167,-9.713168017382728e-08,0.03660387917287015,0.988253323815487,0.01447469015136239,0.04247908117370936,-0.14608688844417678,0.976164961800688,-0.018280962632169433,-0.047375510316354556,-0.21100553258189142,0.9967141039295537,-1.734723475976807e-18,7.101524229780054e-18,-0.08099996930806161,0.999683030908024,0.0026438470468912526,0.00438119704107506,0.024650616621637422,0.9975473595938384,-0.055098468942000906,-0.042329130425133865,-0.008465743030623973,0.9989882726478222,0.02612636870307168,-9.71316801712252e-08,0.036603879172870224,0.9941946328275939,0.04451192684835198,-0.0457529499561926,-0.08661632637880005,0.9896002978139133,-0.06845593621914625,-0.11831146523064444,-0.044804381012932534,0.9612380840417456,0.06232568258725803,0.0061399987793304195,0.2685128590827194,0.5858126632250376,0.04570760947507022,0.8091550112529052,0.00158297364919939,0.9999999999999998,2.7755575615628914e-17,-9.540979117872439e-18,-1.3877787807814457e-17,0.997220791683605,0.06930199467854978,-0.022000614811913677,0.01624497200354287,0.862274617480083,-0.1144796050344198,-0.011277929193723262,0.49320352025694336,0.5790070639902938,-0.045982608024596194,-0.8140232696674581,0.0015924975657302942,1.0,0.0,2.7755575615628914e-17,1.3877787807814457e-17
0.07,0.9999087497427838,-0.011116520843140992,0.006799865893956659,-0.0035604741245248693,0.9713403063448721,0.03258624159102702,-0.03951082818361576,0.23210997519509172,0.9873198184424619,0.011515627632363568,0.037590729022577506,-0.1537982559151045,0.9993236788297253,8.673617379884035e-19,5.204170427930421e-18,-0.03677206725524407,0.9985696109593979,0.005614796425812328,0.009304445019212798,-0.052351059515332164,0.9930156429080745,-0.09287367283429843,-0.07134974684328255,0.01426980937261698,0.9989643672363373,-0.02643306961184827,-9.827192183923736e-08,0.03703357696725779,0.9896232137981834,0.023229085075001682,0.0461023241945382,-0.1340928037673744,0.9692352092605421,-0.021989236218127626,-0.05143839211454367,-0.23969496122548592,0.9943210469174001,5.204170427930421e-18,-1.5178830414797062e-18,-0.10642206377009197,0.9999991311597018,0.00013843062174186778,0.00022939747255151278,0.001290695007968079,0.9980054020403673,-0.04969355464319231,-0.03817683133798919,-0.0076352913604618156,0.9989643672363373,0.026433069611848253,-9.827192183967104e-08,0.037033576967257675,0.9940790310941213,0.05053373443561443,-0.04437527961873533,-0.08534668231233825,0.9893121007723333,-0.06864291050691124,-0.12061055463098484,-0.04475279001558578,0.9608003566890121,0.06266961303142467,0.006173880999623763,0.26999458769049633,0.5843230299846237,0.0457682185353538,0.8102279644311393,0.0015850726989294905,0.9999999999999998,6.938893903907228e-18,5.117434254131581e-17,6.938893903907228e-18,0.9976048193130608,0.06533193997730671,-0.02038234764216172,0.010045994562567856,0.8684119794482323,-0.11208403713968998,-0.011041930431433745,0.482882882634722,0.5784881005631719,-0.04600337927217418,-0.8143909799734852,0.0015932169281724085,1.0,-2.7755575615628914e-17,0.0,0.0
0.08,0.999848927027767,-0.015613200458890147,0.006762475496147985,-0.0035524664696260527,0.9716052112426875,0.03805437496330998,-0.039923906353511895,0.23008967759045726,0.9852562977841993,0.012862643373139028,0.03984604099475094,-0.1658821060243479,0.9989787381476298,-8.673617379884035e-19,0.0,-0.045182748134318634,0.9988378996783497,0.005061251126755987,0.008387148752328434,-0.047189931542444385,0.9924495193044938,-0.09655060810636396,-0.0741745344587038,0.014834761353157696,0.9989395906053893,-0.026747229295154693,-9.943989349829596e-08,0.03747372474360695,0.9910263408718676,0.032785378705331054,0.04928858983649785,-0.11984383819452184,0.9607105164734951,-0.026176817457242936,-0.05521172370715971,-0.27074294696321183,0.9908223886236661,2.6020852139652106e-18,4.9873299934333204e-18,-0.13517024155520502,0.9996876296030807,-0.00262460107731696,-0.00434930397636441,-0.024471171665452818,0.9984384666924981,-0.04397390821483832,-0.03378274082512394,-0.006756481879577059,0.9989395906053895,0.026747229295154693,-9.943989348962234e-08,0.037473724743607106,0.9938914856779859,0.05666854508680216,-0.04297007697188196,-0.08439172459181991,0.9890200361094874,-0.06865929136628354,-0.12303651982507334,-0.04457897119048908,0.9601444793237581,0.0631811537443318,0.0062242753029422004,0.2721984184976055,0.5829135640793891,0.045825350190600286,0.811239357625288,0.0015870513170595096,0.9999999999999999,6.938893903907228e-18,-8.673617379884035e-18,-6.938893903907228e-18,0.9978953599460743,0.061830528444407035,-0.019086255208385715,0.004189416725623452,0.8747841213815659,-0.10952281626438064,-0.010789612407864912,0.47184857524452495,0.5782674525964452,-0.04601220211345042,-0.8145471694201476,0.0015935224861617914,1.0,-2.7755575615628914e-17,-1.1102230246251565e-16,2.7755575615628914e-17
0.09,0.9997528945438957,-0.020795160934945676,0.007480668638515231,-0.0023980678707447452,0.9725118733106111,0.04434851910552458,-0.040646176930309544,0.22494833501047062,0.9836643561945095,0.013867666565615618,0.04141611719616677,-0.174633408638952,0.9986668203463465,8.673617379884035e-18,-3.469446951953614e-18,-0.05161958871705802,0.9991639429903635,0.004293282234782949,0.007114524815513966,-0.040029567725017395,0.9918387643384128,-0.1003642627221974,-0.0771043560441267,0.015420719921610574,0.9989302229007929,-0.026865049688565592,-9.987792194557712e-08,0.037638794887626024,0.9921448272581015,0.0441985415778288,0.05214798838497427,-0.10476506084943556,0.9506179887092565,-0.030704443100131307,-0.058481623252932824,-0.3032533206050362,0.9861359503963757,0.0,1.3010426069826053e-18,-0.16593940862808165,0.9986533253256582,-0.005448128843285602,-0.009028255244820281,-0.050797089634603776,0.9986346339275162,-0.0411211552549028,-0.031591127257078896,-0.006318163466154492,0.998930222900793,0.026865049688565554,-9.987792197810319e-08,0.037638794887626115,0.9934526628597284,0.06311576282289637,-0.042523963688754746,-0.08520516212293758,0.988993380652698,-0.0683741928276543,-0.12375894680459973,-0.0435980030062227,0.9594818820362,0.06369341359470575,0.00627474045190538,0.27440534750836487,0.5823562319110487,0.04584788357195831,0.8116382627234919,0.0015878317067873488,1.0000000000000002,2.0816681711721685e-17,5.551115123125783e-17,-6.938893903907228e-18,0.9980878635044723,0.05914589686281584,-0.01786984590328954,-0.0017459143058883714,0.8805689937842867,-0.10712786459412021,-0.010553674352772317,0.46153059245394357,0.5788728665880113,-0.04598798189243258,-0.8141184024503717,0.0015926836767800046,0.9999999999999999,2.7755575615628914e-17,-1.1796119636642288e-16,4.163336342344337e-17
