time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.01040013,0.01897573,0.01005546,0.01004728,0.01008078,0.01023124,0.01003263,0.02159985,0.02077156,0.0217665,0.01061678,0.01020836,0.04519958,0.06149957,0.01004863,0.01002585,0.01002192,0.04126156,0.01134478,0.01020223,0.02999528,0.02323353,0.01589117,0.01051909,0.0889169,0.01010543,0.01005896,0.0107716,0.06349516,0.04623582,0.0316281,0.01002784,0.01007756,0.01002776,0.05342956,0.05693903,0.0528603,0.01003853,0.01001475,0.01002448,0.0113814,0.03031468,0.01006239,0.01005175,0.01009776,0.01033508,0.0100339,0.01965135,0.01959887,0.02348946,0.01048849,0.0101519,0.05842143,0.04671998,0.01004829,0.01002633,0.01002363,0.0290985,0.0104996,0.01012293,0.02462152,0.0182822,0.01276406,0.01069008,0.08604714,0.01009265,0.01005163,0.0102883,0.06064597,0.04762574,0.02891728,0.0100288,0.01008254,0.01008926,0.04591614,0.05253598,0.06956894,0.01004396,0.01001679,0.01002786
0.01,0.0109794,0.02003138,0.01005308,0.01004545,0.01007959,0.01046161,0.01003269,0.02234457,0.02100648,0.0221584,0.01129199,0.01045489,0.04399008,0.06167417,0.01004777,0.0100254,0.01002153,0.0419179,0.01213132,0.01028984,0.03042593,0.0239589,0.01707818,0.0110381,0.08810861,0.01010714,0.01006005,0.0112573,0.06261346,0.04596409,0.03162359,0.0100283,0.01007653,0.01001264,0.05315543,0.0565595,0.05269653,0.01003392,0.01001297,0.01002157,0.01271598,0.0303962,0.01006206,0.01005086,0.01011541,0.0107717,0.0100337,0.02073901,0.01982041,0.0236201,0.01108113,0.01033308,0.05921388,0.04598647,0.01004769,0.01002599,0.01002327,0.02984891,0.01079925,0.01014102,0.02538992,0.01944365,0.01391153,0.01138879,0.08581505,0.01009176,0.01005187,0.01046296,0.06035709,0.0475155,0.02933017,0.01002892,0.0100828,0.01017658,0.04597842,0.05179108,0.06925204,0.01004396,0.01001633,0.01002733
0.02,0.01093621,0.01978027,0.01005347,0.01004586,0.01007979,0.01044082,0.01003282,0.0222531,0.02068524,0.02192467,0.01130283,0.01046461,0.04295513,0.06183967,0.01004779,0.01002553,0.01002164,0.04209242,0.01207676,0.01027529,0.03041171,0.02389764,0.01698274,0.01099711,0.08784936,0.01010732,0.01006023,0.01119544,0.06232393,0.04562628,0.0315142,0.01002842,0.01007689,0.01001303,0.05305531,0.05663632,0.05233966,0.01003433,0.01001316,0.01002187,0.01260915,0.0301303,0.01006197,0.01005087,0.01011343,0.01073352,0.0100337,0.02074434,0.01948889,0.0233713,0.011078,0.01033317,0.06013365,0.04545719,0.01004755,0.01002598,0.01002326,0.03013729,0.01076782,0.01013576,0.02546977,0.01945979,0.01386409,0.01133487,0.08599764,0.01009226,0.01005218,0.01044188,0.0604111,0.04738396,0.02939752,0.01002892,0.01008256,0.0101732,0.04617457,0.05134177,0.06893374,0.01004365,0.01001628,0.01002722
0.03,0.01091755,0.01957232,0.01005358,0.010046,0.01007978,0.01043341,0.01003291,0.02219902,0.02041786,0.02173558,0.01135498,0.01049557,0.04200775,0.0619576,0.01004787,0.01002559,0.01002168,0.04223699,0.01208034,0.01027362,0.03040817,0.02386419,0.01694387,0.01098604,0.08759617,0.01010796,0.01006064,0.01117175,0.06204669,0.04534476,0.03141668,0.01002853,0.01007711,0.01001329,0.0529388,0.0566912,0.05190876,0.01003438,0.01001318,0.0100219,0.01254878,0.02987791,0.01006185,0.01005082,0.01011254,0.01071721,0.01003368,0.02078102,0.01920256,0.02317076,0.01111663,0.01035256,0.06088192,0.04509829,0.01004754,0.01002597,0.01002323,0.03042519,0.01077257,0.01013538,0.02557012,0.01952087,0.01387837,0.01131698,0.08612169,0.01009273,0.01005248,0.01044033,0.06042384,0.04728459,0.02946312,0.01002891,0.01008248,0.01017778,0.0463373,0.05097145,0.06864849,0.01004356,0.01001626,0.01002718
0.04,0.01037241,0.01809162,0.01005581,0.01004769,0.01008107,0.01022303,0.01003294,0.02139804,0.01958456,0.02096013,0.01073028,0.0102539,0.041218,0.06203204,0.01004917,0.01002612,0.01002206,0.04185115,0.01135469,0.01020412,0.03000781,0.02309846,0.01572429,0.01049598,0.08793414,0.01010756,0.01006026,0.010718,0.062397,0.04501979,0.03123904,0.01002824,0.0100786,0.01002804,0.05295846,0.05720806,0.0512946,0.01003869,0.01001478,0.01002456,0.01121434,0.02930326,0.0100619,0.01005142,0.01009678,0.01031142,0.01003374,0.01985493,0.0183729,0.02263424,0.01055537,0.0101694,0.06160366,0.04500636,0.01004842,0.01002631,0.01002344,0.03028336,0.01051724,0.01012516,0.02507364,0.0185582,0.01281593,0.0106467,0.08661462,0.01009457,0.01005284,0.01029058,0.0607608,0.04717163,0.02923982,0.01002873,0.0100825,0.01011251,0.04658622,0.05095823,0.06837294,0.01004378,0.01001664,0.01002767
0.05,0.01036986,0.01792086,0.01005587,0.01004779,0.01008108,0.01022197,0.01003299,0.02135689,0.0193707,0.02078851,0.01076347,0.01026911,0.04039679,0.06203625,0.0100492,0.01002616,0.01002208,0.04195598,0.01135733,0.010203,0.02999991,0.02307573,0.01570284,0.01049415,0.0877384,0.01010842,0.01006078,0.01070674,0.06219024,0.04484805,0.03116585,0.01002831,0.01007874,0.01002775,0.05286759,0.05731898,0.05069862,0.01003876,0.01001481,0.0100246,0.01118186,0.02898861,0.01006178,0.01005136,0.01009642,0.0103074,0.01003372,0.01987424,0.01812323,0.02248031,0.01057999,0.01017778,0.0620059,0.04502007,0.01004842,0.01002631,0.01002342,0.03055609,0.01052259,0.01012522,0.02516273,0.01862226,0.01283613,0.01064082,0.08663945,0.010095,0.01005312,0.01029102,0.06070418,0.04716812,0.02927815,0.01002873,0.01008243,0.0101119,0.04671445,0.050783,0.0681503,0.01004371,0.01001662,0.01002763
0.06,0.01036786,0.01778083,0.01005592,0.01004787,0.01008107,0.0102211,0.01003303,0.02131886,0.01921034,0.0206357,0.01079384,0.0102836,0.039644,0.06195912,0.01004922,0.01002619,0.0100221,0.04203212,0.01135922,0.01020203,0.0299848,0.02305357,0.01568531,0.01049271,0.08756427,0.0101094,0.01006137,0.01069711,0.0620143,0.04472302,0.03110177,0.01002837,0.01007884,0.01002743,0.05278407,0.05746201,0.05000797,0.01003881,0.01001484,0.01002465,0.01114826,0.02864089,0.01006165,0.01005129,0.01009604,0.01030346,0.0100337,0.01988248,0.01791823,0.02235768,0.01060394,0.01018641,0.06221616,0.04522633,0.01004846,0.01002633,0.0100234,0.03082686,0.01052953,0.01012551,0.02524511,0.01868797,0.01286,0.01063465,0.08662876,0.01009544,0.01005339,0.01029237,0.06062377,0.04722592,0.02930748,0.01002872,0.01008235,0.01010931,0.04683903,0.05072211,0.06792848,0.01004366,0.0100166,0.01002761
0.07,0.01036866,0.01768638,0.01005596,0.01004793,0.01008106,0.01022114,0.01003305,0.02128455,0.01910776,0.02050441,0.01082303,0.01029757,0.03894854,0.06178269,0.01004922,0.01002621,0.01002212,0.04207174,0.01136105,0.0102012,0.02996023,0.02303023,0.01567347,0.01049364,0.08740519,0.01011048,0.01006202,0.01068973,0.06186455,0.04463988,0.03104304,0.01002842,0.01007892,0.01002701,0.05270063,0.05763458,0.04923018,0.01003884,0.01001486,0.01002468,0.01111858,0.02825746,0.0100615,0.01005121,0.0100956,0.01030068,0.01003367,0.01988735,0.017764,0.02226745,0.01062872,0.01019548,0.06224389,0.0456117,0.0100485,0.01002635,0.01002338,0.03110211,0.01053887,0.01012603,0.02532583,0.01876326,0.01289373,0.01063051,0.08659499,0.01009586,0.01005365,0.01029521,0.06052953,0.04735007,0.02933546,0.01002871,0.01008224,0.01010484,0.04696946,0.05077833,0.06770254,0.0100436,0.01001659,0.01002758
0.08,0.01037073,0.01763384,0.01005601,0.010048,0.01008107,0.01022153,0.01003308,0.02124659,0.01906064,0.02038918,0.0108476,0.01030967,0.03836347,0.06146849,0.01004921,0.01002622,0.01002213,0.04206691,0.0113591,0.01020014,0.02992081,0.02299826,0.0156588,0.01049514,0.08724788,0.01011168,0.01006274,0.01068211,0.06173092,0.04459239,0.03098255,0.01002847,0.01007899,0.01002657,0.05260775,0.05783166,0.04835207,0.01003888,0.01001488,0.01002471,0.01108556,0.02782965,0.01006131,0.01005109,0.01009506,0.01029759,0.01003364,0.01989281,0.01766096,0.02220407,0.01065137,0.0102042,0.06211198,0.04615059,0.01004855,0.01002637,0.01002336,0.031392,0.01055004,0.01012674,0.02540979,0.01885163,0.01293582,0.01062553,0.08656328,0.01009631,0.01005392,0.01029934,0.06044158,0.04754599,0.02937443,0.01002867,0.01008208,0.01009814,0.04712521,0.05094484,0.06743715,0.01004352,0.01001657,0.01002753
0.09,0.01037448,0.01762808,0.01005606,0.01004806,0.01008111,0.01022239,0.0100331,0.02121105,0.01906505,0.02028779,0.01086742,0.01031955,0.0377693,0.06106131,0.01004919,0.01002623,0.01002215,0.04201555,0.0113534,0.01019884,0.02986829,0.02296041,0.01564377,0.01049765,0.08710297,0.01011302,0.01006354,0.01067483,0.06162393,0.04456036,0.03092613,0.01002851,0.01007906,0.01002612,0.05251086,0.05803347,0.04738352,0.01003891,0.0100149,0.01002474,0.01104963,0.02735854,0.01006104,0.01005092,0.01009438,0.01029428,0.01003358,0.01990872,0.0176082,0.02216369,0.010672,0.01021247,0.06185969,0.04679644,0.01004858,0.01002638,0.01002332,0.03170464,0.01056339,0.01012761,0.02550445,0.01896149,0.01299043,0.01062005,0.08656555,0.01009678,0.0100542,0.01030522,0.06038569,0.0478211,0.02943957,0.01002862,0.01008184,0.01008962,0.04732683,0.05121313,0.06711917,0.01004339,0.01001653,0.01002747
