time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.01005696,0.01003535,0.01007993,0.01009062,0.01007215,0.01008061,0.18612288,0.10836623,0.06915627,0.01004804,0.03073278,0.03753384,0.01430874,0.17312707,0.03424758,0.03116606,0.0100729,0.0957503,0.06967134,0.07411456,0.03142807,0.03949494,0.04286109,0.02145751,0.01087195,0.11160427,0.21761956,0.081941,0.01014565,0.010005,0.05294092,0.34186923,0.11701597,0.01000483,0.01042938,0.1932503,0.01000637,0.01000762,0.01000277,0.0100047,0.01004763,0.01002468,0.01049532,0.02884249,0.01006865,0.01005473,0.09681985,0.01852308,0.02968253,0.01314937,0.01188639,0.01135289,0.01068269,0.04868843,0.01448966,0.06784313,0.03093543,0.01876484,0.01043321,0.01013589,0.01061717,0.01026267,0.01026198,0.01013888,0.01005655,0.01837792,0.02664372,0.01009459,0.01004474,0.01001028,0.01153448,0.16884752,0.06844985,0.01003305,0.01011108,0.06492268,0.01008304,0.01002887,0.01000951,0.01001839
0.01,0.0100496,0.01003057,0.01007311,0.01008575,0.01006417,0.01007022,0.18789764,0.11004968,0.06567908,0.01004824,0.02792042,0.03369547,0.01277675,0.13586014,0.04089632,0.03837227,0.0100698,0.11851115,0.08352248,0.08689278,0.03871361,0.0467092,0.049237,0.01922012,0.01174562,0.11079606,0.21602777,0.09174699,0.01017186,0.01000483,0.05442197,0.35168031,0.11910782,0.01000485,0.01152191,0.181124,0.0100064,0.01000739,0.01000268,0.01000456,0.01016178,0.0102139,0.0100558,0.01005552,0.01007187,0.01016622,0.03014048,0.04990048,0.03040489,0.01139967,0.01543415,0.01687784,0.03311828,0.07728382,0.01006795,0.01003149,0.01002077,0.04692661,0.01451197,0.01087779,0.0271011,0.01797868,0.01324058,0.02196289,0.088407,0.02915489,0.0472559,0.01086443,0.05442132,0.01000857,0.03818796,0.12473627,0.05834331,0.01002274,0.01511757,0.08967448,0.01005354,0.01000949,0.01000301,0.01000594
0.02,0.01004474,0.01002739,0.01006882,0.01008388,0.01005914,0.0100628,0.18646462,0.1092833,0.06172624,0.0100507,0.02457654,0.02948855,0.01088711,0.09938166,0.04715923,0.04582766,0.01006451,0.14282003,0.0970803,0.09828926,0.04653125,0.05354888,0.05452812,0.0159066,0.0105113,0.10695278,0.20843477,0.09807091,0.01009629,0.01000478,0.05426355,0.35601313,0.11960987,0.01000494,0.01168573,0.16935419,0.01000661,0.01000737,0.01000267,0.01000456,0.01012687,0.02383098,0.01002826,0.01002485,0.01004152,0.01010176,0.01007438,0.07603316,0.0317645,0.01043488,0.01808909,0.02323321,0.06021252,0.09833052,0.01002717,0.01001234,0.01000903,0.08880497,0.02351077,0.01089097,0.05998382,0.04137969,0.0219347,0.04214883,0.23252155,0.03921877,0.06515028,0.01192047,0.17048502,0.01000795,0.07217453,0.07071537,0.03561211,0.01001891,0.05564363,0.10747761,0.01004036,0.01000617,0.01000193,0.01000386
0.03,0.01004068,0.01002487,0.01006364,0.01008124,0.01005425,0.0100564,0.18172732,0.10455596,0.05779042,0.01005277,0.02166572,0.02488084,0.01048129,0.06142028,0.05461988,0.05690664,0.01005651,0.16807635,0.11016344,0.10814313,0.05425966,0.05929781,0.0581729,0.01418502,0.01046394,0.10056073,0.19581927,0.09989498,0.01008457,0.01000481,0.05100754,0.35317205,0.1180023,0.01000502,0.0144245,0.15752678,0.01000701,0.01000744,0.01000269,0.01000461,0.01014639,0.06283354,0.01001839,0.01001559,0.01002896,0.01009847,0.0100363,0.09961693,0.03273421,0.01043581,0.02124958,0.02837649,0.08203709,0.1193101,0.01001753,0.01000761,0.01000571,0.13177391,0.03569763,0.01190341,0.09216484,0.06583475,0.03541202,0.0572743,0.36284668,0.04733684,0.07956246,0.01701985,0.27638222,0.01000788,0.10618582,0.0160396,0.01438122,0.01001707,0.10053282,0.1178158,0.01003272,0.0100045,0.0100014,0.01000282
0.04,0.01003798,0.01002293,0.01006737,0.01009371,0.01005335,0.01005158,0.17297635,0.09610067,0.05353788,0.0100627,0.01851444,0.02014097,0.01025151,0.02485121,0.06309882,0.07128198,0.01006825,0.19543896,0.12333086,0.11674523,0.06227853,0.06440341,0.06063876,0.01178189,0.01019693,0.09205376,0.17906881,0.09772163,0.01006208,0.01000503,0.04507803,0.34209458,0.11368699,0.01000519,0.01723983,0.14521168,0.01000768,0.010008,0.01000288,0.01000496,0.01015278,0.12337913,0.01001325,0.01001088,0.0100222,0.0100792,0.01001334,0.08744229,0.02486222,0.01021266,0.01907848,0.02556785,0.07138927,0.09527557,0.0100114,0.01000496,0.01000394,0.16991864,0.04494409,0.011227,0.12386818,0.09089115,0.04988498,0.04629658,0.49310656,0.04306079,0.0733199,0.02624217,0.39094839,0.01005219,0.12334097,0.01002031,0.01003928,0.01002191,0.17038696,0.09333346,0.01003646,0.01000503,0.01000156,0.01000316
0.05,0.01003564,0.0100211,0.01007341,0.01015257,0.01005367,0.01004727,0.15564782,0.07664615,0.05577302,0.01006416,0.01862355,0.01880394,0.01005651,0.01005518,0.07793041,0.10070215,0.01007865,0.22403706,0.13616419,0.12324476,0.06879798,0.06667488,0.05989131,0.010981,0.0101002,0.09123878,0.17702729,0.08704444,0.01004559,0.01000573,0.03093297,0.31145736,0.10234513,0.01000476,0.02054224,0.15406888,0.01000778,0.01000976,0.01000351,0.01000607,0.01170646,0.19275026,0.01001078,0.01000857,0.01001933,0.01012875,0.01001032,0.10024862,0.02420292,0.01027654,0.01985447,0.02557668,0.07718095,0.10404807,0.01000851,0.01000367,0.01000312,0.19123597,0.04652286,0.01113302,0.14618056,0.10964287,0.0611905,0.05967713,0.58381191,0.04410837,0.0758767,0.03647879,0.48220112,0.02009077,0.15117674,0.01001509,0.01002945,0.01002383,0.21298932,0.08890328,0.01003475,0.01000422,0.01000131,0.01000266
0.06,0.01003325,0.01001917,0.01010403,0.01108912,0.01005554,0.0100431,0.13010847,0.04908175,0.06033358,0.0100701,0.0191866,0.0188713,0.01002296,0.01001616,0.0971827,0.14121257,0.01085905,0.25570087,0.14954421,0.12829729,0.07493427,0.06752379,0.05734097,0.01019749,0.01006024,0.096069,0.18563322,0.07022041,0.01003353,0.01000737,0.01497463,0.26342705,0.08422995,0.01000399,0.02258117,0.18030687,0.01000744,0.01001481,0.01000535,0.01000926,0.02413788,0.26500005,0.01000937,0.01000722,0.01001802,0.01026053,0.01000904,0.11639282,0.02358904,0.01016353,0.01856888,0.02343139,0.08341179,0.11357692,0.01000676,0.01000291,0.01000267,0.19792484,0.04314101,0.01039318,0.16011753,0.12366806,0.07083503,0.07841562,0.63647414,0.0437725,0.07619181,0.04871773,0.54896184,0.02645355,0.17847365,0.01001378,0.01002781,0.01002609,0.24234037,0.08453474,0.01003305,0.01000349,0.01000109,0.01000222
0.07,0.01003029,0.01001708,0.01016293,0.01656384,0.01005549,0.01003854,0.09929768,0.02213982,0.06447641,0.01007725,0.01967849,0.01835066,0.0100143,0.01000939,0.11523378,0.18049832,0.01931048,0.29313279,0.16483015,0.13340373,0.08315494,0.06989359,0.05578816,0.01009713,0.01004457,0.09911439,0.19053261,0.05290179,0.01002634,0.01001098,0.0103611,0.20716742,0.06226121,0.01000335,0.02897996,0.20661338,0.01000732,0.01003934,0.01001449,0.01002491,0.05250481,0.32895329,0.01000856,0.0100064,0.01001772,0.01169047,0.0100084,0.12950351,0.02415204,0.01013466,0.01659359,0.01967956,0.08526748,0.11597343,0.01000566,0.01000248,0.01000242,0.19036599,0.0352508,0.01018934,0.16550737,0.13296115,0.0784993,0.0958903,0.65416228,0.04124439,0.07260028,0.06319741,0.58822665,0.02676672,0.20090424,0.01001363,0.01002822,0.01002979,0.26097181,0.07768525,0.01003273,0.01000304,0.01000095,0.01000193
0.08,0.01002692,0.01001496,0.01037633,0.02326412,0.01005655,0.01003401,0.07009459,0.01212113,0.06878451,0.01005064,0.02037365,0.01741036,0.01001052,0.01000665,0.12676739,0.20578643,0.02670925,0.33603185,0.18262411,0.14062393,0.09496525,0.0761037,0.05775396,0.01006861,0.01003908,0.10026223,0.19130762,0.04235596,0.01002251,0.01002771,0.01012433,0.15856137,0.04244617,0.01000277,0.04202185,0.23339476,0.01000737,0.01319079,0.01221152,0.01287437,0.08405107,0.37487412,0.01000818,0.01000593,0.01001842,0.02658941,0.01000819,0.13927281,0.0278908,0.0102838,0.01547424,0.01649543,0.08313441,0.1139258,0.010005,0.01000226,0.0100023,0.16658443,0.02190804,0.01021457,0.16192951,0.1366432,0.0833169,0.11165805,0.6447244,0.03813228,0.06755716,0.07775382,0.60193613,0.02207241,0.21745015,0.01001433,0.01003074,0.01003321,0.26742431,0.07069799,0.01003087,0.01000276,0.01000087,0.01000177
0.09,0.01002332,0.01001308,0.01008989,0.01540679,0.01004279,0.01002967,0.05445912,0.01075891,0.07116364,0.01011034,0.02060405,0.01565712,0.0100088,0.01000544,0.12625777,0.20270286,0.0118159,0.38154959,0.20279893,0.1523924,0.11127992,0.08815547,0.0655742,0.01005969,0.01003987,0.09972826,0.18779316,0.04635824,0.01002158,0.01002052,0.01014368,0.14347871,0.03408201,0.01000222,0.06075201,0.26378612,0.01000758,0.01337746,0.02689311,0.01630329,0.11294914,0.39546037,0.01000811,0.01000571,0.01002009,0.05168495,0.01000831,0.14619322,0.0314056,0.01013374,0.01194946,0.01194297,0.07972513,0.10893207,0.01000463,0.01000215,0.01000226,0.12871071,0.01051146,0.01006211,0.15128618,0.13454343,0.08491292,0.12531959,0.61801029,0.03581152,0.06458692,0.08846781,0.59530272,0.01431558,0.22838375,0.01001585,0.01003512,0.01003602,0.26259562,0.06594072,0.01003087,0.01000259,0.01000083,0.01000167
