time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.0105116,0.01856045,0.01005932,0.01004807,0.01009389,0.01067377,0.02545089,0.06498675,0.03813263,0.01013789,0.01613968,0.01637053,0.01104084,0.03456679,0.01005282,0.0100293,0.01002937,0.01021968,0.01018517,0.01015916,0.01298669,0.01482272,0.01416203,0.01805245,0.09483523,0.05410903,0.10059287,0.02161587,0.09260848,0.01001247,0.06332847,0.07580947,0.02708394,0.01000634,0.03185032,0.12358408,0.01001704,0.01001033,0.01000373,0.01000643,0.01004822,0.01002606,0.01010502,0.01109055,0.01006397,0.01005823,0.07167422,0.02207947,0.0300501,0.01259457,0.01104249,0.01057793,0.012179,0.01066314,0.01247175,0.03288065,0.0100887,0.05179267,0.01448413,0.01041874,0.01385355,0.01083469,0.01049768,0.01017375,0.01011167,0.02052031,0.03239786,0.01013683,0.01006754,0.01001085,0.01260971,0.15003709,0.05695297,0.01002014,0.01020789,0.06044724,0.01007006,0.010024,0.01000778,0.010015
0.01,0.01010475,0.01012834,0.01005374,0.01004711,0.01007114,0.01012753,0.04300622,0.07045553,0.03888644,0.01012533,0.01641166,0.01664409,0.01579119,0.02815613,0.01007665,0.01003778,0.01002968,0.0233979,0.01372072,0.01294564,0.02113024,0.02559098,0.02479293,0.01521574,0.08049543,0.05625245,0.10474509,0.04269801,0.06896449,0.01001025,0.06451176,0.11215501,0.03761549,0.01000615,0.03739073,0.12557276,0.01001638,0.01000947,0.01000338,0.01000589,0.01012292,0.01015862,0.01006193,0.0100627,0.0100722,0.010129,0.02448576,0.04805703,0.03121403,0.01138752,0.01419086,0.01475307,0.03218155,0.03212947,0.01006758,0.01003289,0.01002414,0.05529459,0.01511978,0.01063964,0.03068365,0.01947594,0.01311619,0.01848336,0.08342882,0.03088531,0.05058383,0.01055145,0.04897572,0.01000922,0.03620128,0.11509618,0.0501336,0.01001337,0.01634372,0.09184676,0.01004756,0.01001082,0.01000346,0.01000675
0.02,0.01006447,0.01006948,0.01004905,0.01004507,0.01005703,0.01008919,0.05966245,0.07255911,0.04037532,0.01014513,0.01727731,0.01694649,0.02220228,0.01851505,0.01014984,0.01004582,0.01003116,0.04500311,0.02799247,0.0282382,0.025981,0.03181117,0.03224205,0.01585581,0.0644881,0.05695916,0.10634393,0.0583981,0.04989439,0.01000899,0.06280161,0.14184336,0.04680932,0.01000621,0.0353495,0.12418401,0.01001629,0.010009,0.01000319,0.01000561,0.01069495,0.02949934,0.01003983,0.01003499,0.01006361,0.01039918,0.01035349,0.06357209,0.03458668,0.01208214,0.01843606,0.02107032,0.04544326,0.05294127,0.01004472,0.01001852,0.01001432,0.0754614,0.02084848,0.0118054,0.05004276,0.03511203,0.02098022,0.03286297,0.16494359,0.03890276,0.0639816,0.01306375,0.11661495,0.01000891,0.0567926,0.07719599,0.03619271,0.01001148,0.04322843,0.11143916,0.0100383,0.01000801,0.01000253,0.01000499
0.03,0.01006678,0.01004805,0.01005599,0.01005399,0.01006252,0.01009544,0.07264666,0.0710112,0.03827811,0.01013264,0.01553003,0.01562901,0.02042992,0.01110295,0.01021196,0.01008304,0.01003629,0.06603153,0.04403878,0.04572341,0.02923889,0.0363606,0.03758569,0.01252175,0.04623554,0.0561713,0.10521349,0.0698519,0.02863427,0.01000852,0.05799289,0.16398442,0.05350212,0.01000626,0.03193194,0.12251237,0.01001593,0.01000922,0.01000324,0.01000575,0.01028692,0.06313062,0.01002869,0.01002444,0.01004557,0.01015572,0.01005792,0.07772185,0.03549412,0.01047788,0.01971088,0.02589056,0.05791829,0.07465705,0.01002637,0.01001192,0.01000955,0.10205336,0.02875185,0.01145141,0.07023428,0.05164902,0.0298866,0.04323202,0.24067549,0.04559285,0.07533657,0.01608638,0.17776739,0.01000873,0.07750033,0.03880979,0.02090558,0.01001122,0.07347864,0.12653597,0.01003469,0.01000642,0.01000201,0.010004
0.04,0.01005742,0.01003843,0.01006208,0.01006384,0.01006235,0.01008034,0.08079543,0.06223376,0.04022184,0.01012426,0.01617737,0.01562675,0.01133806,0.0101472,0.01879413,0.01085845,0.01004853,0.0876301,0.06044784,0.06291466,0.03230928,0.03918942,0.04078136,0.01227365,0.02132614,0.05520399,0.10349925,0.07578087,0.01133916,0.0100088,0.04650263,0.17376697,0.0560758,0.01000625,0.02634688,0.12499039,0.01001587,0.01001053,0.01000368,0.01000657,0.0114161,0.10203563,0.01002216,0.01001825,0.01003784,0.01027894,0.01003668,0.08668973,0.03459378,0.01061848,0.02185556,0.02894639,0.06724271,0.09072143,0.01001977,0.01000872,0.01000709,0.12435117,0.03521606,0.01251308,0.08832076,0.0664368,0.03923436,0.05079464,0.31357052,0.04940961,0.08176994,0.02386725,0.23897658,0.01000978,0.09612303,0.0105068,0.01120268,0.01001199,0.10510007,0.13052609,0.0100334,0.01000563,0.01000175,0.01000351
0.05,0.01005372,0.01003381,0.01007951,0.01009341,0.01006873,0.01007492,0.08094726,0.04864627,0.04256197,0.0101171,0.01645008,0.01567176,0.0100694,0.01003038,0.03923439,0.03997875,0.0100725,0.10970757,0.07334713,0.07318404,0.03564999,0.0403533,0.04074242,0.01087265,0.01035835,0.056458,0.10579153,0.07078184,0.01011146,0.0100099,0.03141714,0.16897732,0.05389398,0.01000572,0.02120702,0.13689665,0.01001464,0.01001328,0.01000462,0.01000831,0.01408013,0.14877598,0.01001736,0.01001394,0.01003103,0.01027742,0.01001728,0.07961475,0.02769424,0.01032654,0.02021224,0.02705864,0.06146593,0.08447676,0.01001466,0.01000646,0.01000536,0.145873,0.04075994,0.01179874,0.10665796,0.08182726,0.04895935,0.0466172,0.3890697,0.04553145,0.07556056,0.03360389,0.30596227,0.01002965,0.10822382,0.01002569,0.01005495,0.01001473,0.15051779,0.11126872,0.01003628,0.01000584,0.01000182,0.01000366
0.06,0.01005107,0.01003054,0.01011659,0.01028984,0.01007701,0.01006895,0.07565457,0.03047193,0.04555441,0.01012794,0.01684083,0.01571871,0.01003402,0.01001772,0.06199324,0.08470572,0.01031084,0.13194584,0.08485498,0.08045748,0.03867344,0.0401361,0.03871143,0.01030287,0.01010286,0.05737829,0.10720256,0.05969843,0.01006133,0.01001255,0.01516742,0.15214356,0.04753635,0.01000524,0.01660929,0.1515074,0.01001393,0.01002093,0.01000733,0.01001319,0.02219461,0.19469493,0.01001453,0.01001139,0.01002731,0.01040053,0.01001313,0.08138177,0.02445449,0.01023096,0.01939308,0.02606325,0.06353465,0.08862195,0.01001177,0.01000512,0.01000438,0.15919337,0.04296686,0.0113391,0.11994283,0.09373694,0.05663263,0.05007693,0.44579242,0.04460857,0.07423975,0.04279297,0.36207402,0.01299033,0.12343762,0.0100172,0.01003644,0.0100169,0.18260845,0.10331626,0.01003705,0.0100055,0.01000171,0.01000345
0.07,0.01004927,0.01002718,0.01117465,0.01715487,0.01015928,0.01006724,0.0639182,0.01668297,0.05123121,0.01033199,0.01868984,0.01658747,0.0100223,0.01001194,0.08340276,0.12759544,0.02498238,0.15826898,0.09738108,0.08711951,0.04352403,0.04125035,0.0376023,0.01043356,0.01006619,0.0574801,0.10673682,0.04728345,0.01004306,0.01002695,0.0111769,0.1241245,0.03739378,0.01000475,0.01810825,0.16675261,0.01001351,0.01030905,0.01011502,0.01020098,0.03598957,0.23731501,0.0100127,0.01000972,0.01002521,0.01262071,0.01001151,0.09185955,0.02558019,0.01069004,0.0210563,0.0262478,0.06946846,0.10306971,0.01000988,0.01000425,0.01000378,0.16426749,0.04176378,0.01286701,0.12834116,0.10231498,0.06247081,0.06091645,0.48270671,0.04545139,0.07579483,0.0510897,0.40567548,0.01685148,0.14198606,0.0100155,0.01003333,0.01001824,0.20128808,0.10126932,0.01003553,0.01000477,0.01000148,0.01000301
0.08,0.01004196,0.01002364,0.01031875,0.02056367,0.0100795,0.01005415,0.0548143,0.01079458,0.05198675,0.010152,0.0176456,0.01519265,0.01001717,0.01000988,0.09663609,0.15216603,0.03570221,0.18961147,0.11245075,0.09626227,0.05156539,0.04618696,0.03982513,0.01011499,0.01005287,0.05727332,0.10546362,0.04297646,0.01003467,0.01002703,0.01016695,0.10810085,0.0299655,0.01000427,0.0192757,0.18454784,0.01001334,0.01200009,0.01541589,0.01251366,0.05180428,0.27620324,0.01001144,0.01000859,0.01002373,0.01364689,0.0100106,0.10115965,0.02342275,0.01015798,0.01762709,0.02267777,0.07487065,0.11114449,0.01000838,0.01000363,0.01000338,0.16069413,0.03741897,0.01041336,0.13233838,0.10849863,0.06755999,0.0718079,0.50259064,0.04468587,0.07551942,0.06098601,0.43837998,0.01651539,0.15877428,0.01001491,0.01003293,0.01002023,0.21454061,0.09696224,0.01003505,0.0100041,0.01000128,0.0100026
0.09,0.01003706,0.01002027,0.01065854,0.02052193,0.01008291,0.0100491,0.05192542,0.01235875,0.05731521,0.01070192,0.01907953,0.01572117,0.01001426,0.01000828,0.10304391,0.16119959,0.02905214,0.22187092,0.12836541,0.10719008,0.06193695,0.0545444,0.04588844,0.01014808,0.01004695,0.05663624,0.10284757,0.04696173,0.01003005,0.01002466,0.01044705,0.10916679,0.02962485,0.01000355,0.02876952,0.20233509,0.01001306,0.01528272,0.02665228,0.0173306,0.06831723,0.3048923,0.01001051,0.01000769,0.01002326,0.02390825,0.01000898,0.1100971,0.02626566,0.0104404,0.01803378,0.02070834,0.07815447,0.11622236,0.01000756,0.01000328,0.01000314,0.14904902,0.02935778,0.01090493,0.13224133,0.11177838,0.07122595,0.08242144,0.50823439,0.0432842,0.07383016,0.0696283,0.45909228,0.01289104,0.17387393,0.01001081,0.01002495,0.01002188,0.22123949,0.0904816,0.01003428,0.0100041,0.01000129,0.01000261
