time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.77,0.03630273,0.1055137,0.01021665,0.01010973,0.01066317,0.03280745,0.01009704,0.03584723,0.03677766,0.0235556,0.01132738,0.01069053,0.0160406,0.01093513,0.01047761,0.01012951,0.0101281,0.0100682,0.01133429,0.01305226,0.0101849,0.01721899,0.03092858,0.02632426,0.06448236,0.01898103,0.02296925,0.05069237,0.08740559,0.02192902,0.06058594,0.01003508,0.01011421,0.01009016,0.03351597,0.05403206,0.01049278,0.01018301,0.01007322,0.01014227,0.01429906,0.11586721,0.01010136,0.0100685,0.01027082,0.01198082,0.01001871,0.01070429,0.05868871,0.01923679,0.01145519,0.01090164,0.01013906,0.01014296,0.01005889,0.01003168,0.01003211,0.0157091,0.01014254,0.01008633,0.03637045,0.04019877,0.02704741,0.01063926,0.1220716,0.01748461,0.02262457,0.01030893,0.11848866,0.0253752,0.08693351,0.01000942,0.01004183,0.01009458,0.09324771,0.07500724,0.0103329,0.0109087,0.01042919,0.01075652
0.78,0.03319542,0.08866944,0.01012806,0.01010913,0.01022558,0.02762684,0.01008966,0.04130993,0.03129239,0.02243089,0.01201693,0.01036529,0.02535779,0.04780305,0.01008828,0.01005166,0.01004081,0.01197251,0.01049994,0.01097234,0.01417777,0.01726246,0.02599438,0.02652616,0.05750247,0.01898872,0.01964223,0.04230581,0.07323672,0.01830148,0.05195639,0.01016052,0.01052837,0.01005421,0.02818276,0.04569187,0.01027692,0.01004606,0.01001485,0.01003278,0.01202723,0.09659151,0.01004861,0.01004229,0.01006783,0.01030621,0.01006562,0.06940619,0.04932203,0.03339165,0.01072553,0.01017371,0.04603221,0.0999534,0.01011483,0.0100466,0.01002425,0.01768777,0.01344932,0.01205216,0.03064381,0.03436386,0.03122942,0.0152604,0.10179128,0.01788841,0.02077365,0.03083486,0.09882221,0.02115229,0.07315959,0.01016331,0.0101817,0.01001582,0.07772199,0.08176251,0.01665088,0.01002164,0.01000721,0.01001559
0.79,0.03410464,0.07404294,0.01244119,0.01090441,0.01698678,0.03556013,0.01393203,0.03461695,0.02615258,0.01888213,0.01400058,0.01518651,0.09340735,0.11688548,0.01159154,0.01053501,0.01154065,0.01024365,0.01085867,0.01785635,0.01195774,0.01462289,0.02224299,0.02589028,0.04801364,0.01771922,0.0204977,0.06357924,0.06117661,0.0262864,0.0434861,0.0112229,0.01215153,0.04850779,0.02354019,0.03811246,0.01261051,0.01045671,0.01013854,0.01029884,0.0514878,0.10320011,0.01298221,0.01152148,0.02545722,0.03978238,0.03277198,0.05791229,0.04112513,0.02790588,0.02564097,0.03283055,0.10961559,0.13334997,0.01022587,0.01013597,0.01044349,0.01477385,0.0112817,0.01023017,0.02559607,0.02869991,0.02610743,0.03715029,0.08485758,0.01497572,0.01734247,0.02576454,0.08239632,0.01764844,0.06103002,0.05244796,0.02802854,0.03700097,0.0647999,0.06815536,0.04308121,0.01018468,0.0100608,0.01012527
0.8,0.03636282,0.07004246,0.01130917,0.01030244,0.01466787,0.04449147,0.01182522,0.02994952,0.02197162,0.01639646,0.01447363,0.01502909,0.09616243,0.13002007,0.01113073,0.01028534,0.0108696,0.01009994,0.01044622,0.02047738,0.01028775,0.01271815,0.02439709,0.02920006,0.04023842,0.01562831,0.01726465,0.0550387,0.05739317,0.02203608,0.03798316,0.01018503,0.01091128,0.04466241,0.02363984,0.03186005,0.01585339,0.0102374,0.01007907,0.01017109,0.04301265,0.08603228,0.01104106,0.01024507,0.02135657,0.03334787,0.02744687,0.04840132,0.03564346,0.02343261,0.02147932,0.02742491,0.10080268,0.1350149,0.01218598,0.01113717,0.01042843,0.01246832,0.01331464,0.01562399,0.02143924,0.02406349,0.02229218,0.03126951,0.07075601,0.01408838,0.02332649,0.03214276,0.06871977,0.01472314,0.05096343,0.04383519,0.02380687,0.03554991,0.05401692,0.05683014,0.03594657,0.01014574,0.01004796,0.01010487
0.81,0.0305903,0.05852308,0.01020036,0.01013779,0.01236289,0.03737742,0.01015779,0.03511252,0.01849455,0.01473559,0.01439496,0.01466796,0.09140893,0.12352657,0.01033222,0.01012331,0.01009556,0.01035159,0.0121383,0.01744426,0.01140407,0.01872031,0.0273841,0.02508941,0.05266265,0.01465268,0.01522261,0.04600672,0.06224454,0.0429719,0.05375207,0.01011858,0.01033672,0.04251123,0.03600714,0.02665227,0.01422109,0.01009843,0.01003262,0.01007124,0.03807425,0.08027246,0.01179828,0.01085554,0.01982732,0.02884074,0.02328679,0.04057503,0.0297397,0.01973452,0.02092215,0.02367719,0.09547438,0.13814129,0.01044199,0.01016561,0.01025563,0.01080231,0.01129954,0.0131197,0.01804329,0.02019475,0.01875091,0.02910683,0.05902699,0.01297544,0.01950556,0.02684567,0.05735762,0.01229729,0.04261403,0.07293351,0.0271457,0.03487505,0.0450977,0.047388,0.03167644,0.0101512,0.01005094,0.01010917
0.82,0.03036835,0.08214631,0.01024635,0.01014835,0.01095615,0.03348198,0.01015852,0.03148201,0.01577569,0.01440642,0.01676143,0.01946918,0.08209191,0.11367094,0.01025517,0.01011028,0.0101089,0.01020867,0.01083605,0.01466326,0.01110967,0.01664287,0.0232613,0.0235328,0.05423296,0.01301057,0.01284999,0.03840887,0.07235613,0.06159263,0.05059964,0.01010199,0.01032329,0.04781337,0.0308662,0.02266206,0.03495994,0.01011493,0.01003641,0.01008191,0.03283183,0.06700672,0.01193883,0.0108104,0.01829254,0.02570629,0.03437766,0.03448027,0.02562571,0.016972,0.01758913,0.01984351,0.09313567,0.1406813,0.0106834,0.01039313,0.01054925,0.01047676,0.01093161,0.0115307,0.01530111,0.01707602,0.01615647,0.02743358,0.04926635,0.01308461,0.02193449,0.02284733,0.04792616,0.01030917,0.03577184,0.06456027,0.03180087,0.04247648,0.03759725,0.0395317,0.02643203,0.01016344,0.01005215,0.01011667
0.83,0.04049113,0.08161749,0.01032757,0.01019354,0.01175484,0.03228396,0.01013785,0.02772228,0.01372552,0.01451564,0.01858815,0.02354259,0.0743688,0.10554879,0.01020312,0.01010219,0.0101106,0.01028219,0.01036359,0.01233105,0.01151571,0.01471886,0.01963441,0.0227649,0.05623424,0.01166924,0.01105371,0.03204939,0.06689724,0.06838541,0.04442699,0.0101059,0.01035136,0.05465014,0.02867123,0.02178462,0.04060084,0.01015876,0.01005473,0.0101167,0.02919344,0.05646607,0.01191344,0.01081327,0.0173347,0.02393723,0.03811124,0.03096135,0.02144541,0.0149616,0.01563446,0.01675523,0.09041732,0.13810419,0.01082672,0.01041478,0.01056559,0.01056427,0.01107005,0.0113658,0.0133655,0.01475885,0.0145165,0.02696279,0.04116979,0.01808886,0.02035423,0.01948782,0.04018923,0.0101197,0.03058858,0.05695202,0.03474778,0.05207312,0.03155623,0.03298383,0.02215205,0.01014364,0.0100475,0.01010426
0.84,0.04226448,0.08293389,0.01034114,0.01018765,0.01233,0.03499724,0.01016178,0.02538059,0.01259504,0.01466115,0.01935989,0.0252871,0.06803019,0.0955948,0.01025129,0.01011514,0.01013126,0.01018899,0.01038954,0.01077729,0.01097794,0.01339018,0.01673693,0.02312936,0.05168669,0.01103565,0.01034919,0.02675097,0.06731439,0.06435474,0.0407523,0.01009974,0.01032707,0.06032498,0.02531038,0.02372914,0.04434893,0.01017569,0.01005744,0.01012795,0.02900367,0.049608,0.0119721,0.01068487,0.01785012,0.02485321,0.03819798,0.0295575,0.01846603,0.01389648,0.01341888,0.01419975,0.08272655,0.12648553,0.01066883,0.01034103,0.01045179,0.01045579,0.0108425,0.01105804,0.01212158,0.01310366,0.01337518,0.02851299,0.03449454,0.01757943,0.01793635,0.01737164,0.03463818,0.01011519,0.027565,0.04760462,0.03387686,0.06027883,0.0263169,0.02754724,0.01851376,0.01012327,0.01003876,0.01008798
0.85,0.04386118,0.07913356,0.01031308,0.01018378,0.01241134,0.03171155,0.01014574,0.0237596,0.01221544,0.01468611,0.019976,0.02649641,0.05827857,0.07992961,0.01018926,0.01009505,0.01010518,0.01026265,0.01034615,0.01029509,0.011935,0.01298553,0.01430088,0.0228563,0.05682118,0.01094179,0.01048391,0.02232304,0.06376331,0.06566858,0.03568958,0.01012255,0.01041829,0.06718493,0.02746498,0.02338497,0.04701477,0.0101274,0.01004214,0.01009432,0.04148783,0.06147317,0.01400984,0.01086324,0.02681155,0.03318407,0.03576456,0.02658264,0.01559357,0.01368226,0.01614675,0.01707571,0.07210008,0.11106056,0.01051564,0.01027899,0.01072627,0.01024066,0.01044121,0.01061003,0.01110604,0.0117541,0.01229622,0.03210616,0.02905538,0.01493876,0.01502934,0.01626787,0.03502669,0.0101521,0.02530596,0.03973081,0.02961206,0.06767231,0.02199453,0.02306998,0.0365015,0.01014477,0.01004689,0.0101053
0.86,0.04809787,0.09532376,0.01045823,0.01026405,0.01413598,0.02845038,0.01015187,0.02069872,0.01197403,0.01472054,0.01954719,0.02573775,0.04867611,0.06669104,0.01019415,0.01010445,0.01012138,0.01038635,0.01033734,0.0102485,0.01454504,0.01286881,0.01235437,0.02102801,0.05235045,0.01056448,0.0102005,0.01863244,0.05437661,0.07075221,0.03021328,0.01013424,0.01044441,0.07577754,0.02491614,0.02229709,0.04164542,0.01017078,0.01005294,0.01012021,0.05946497,0.11232096,0.02437739,0.01143422,0.04769419,0.0513531,0.04313833,0.02355869,0.0133727,0.01414102,0.02152621,0.03003477,0.06662722,0.10165098,0.01061485,0.010337,0.01645324,0.01015715,0.01030887,0.01052842,0.01045132,0.01081818,0.01151515,0.03673957,0.02466031,0.01262561,0.01258667,0.02158678,0.03809199,0.01033538,0.02319771,0.03315118,0.02561736,0.07635554,0.018362,0.02169755,0.05033759,0.01024108,0.01007933,0.01017386
