time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.77,0.03464702,0.12798534,0.01001962,0.01000927,0.01012455,0.02912308,0.01000606,0.01511067,0.03006578,0.01834353,0.01010618,0.01005572,0.01001883,0.01002071,0.01001826,0.01000696,0.01000851,0.0100043,0.01002592,0.01198232,0.01001414,0.01013495,0.0282716,0.02333812,0.06965211,0.01634624,0.02008898,0.06114386,0.09755266,0.02102894,0.06409736,0.01000232,0.01000827,0.01000224,0.02167425,0.04871517,0.01004159,0.01001989,0.01000696,0.01001464,0.01415025,0.13855718,0.01000896,0.01000683,0.01002537,0.01020618,0.01000146,0.02735889,0.03237103,0.02778179,0.01048935,0.01020078,0.04105112,0.02737618,0.01000305,0.01000187,0.01000216,0.02640071,0.01000549,0.01000265,0.03978913,0.02491491,0.01001385,0.01012415,0.1172892,0.0100434,0.01002149,0.01000289,0.10269859,0.01726143,0.06630689,0.01000096,0.01000429,0.01000548,0.06439515,0.08469981,0.01296413,0.01001279,0.01000448,0.01000931
0.78,0.02889049,0.10666076,0.01001081,0.01000951,0.01001349,0.02428375,0.01000858,0.04290103,0.02508014,0.01540881,0.01005805,0.01002182,0.04389979,0.02623303,0.01001146,0.01000606,0.01000435,0.01196343,0.01009888,0.01003467,0.01205077,0.01394929,0.0235961,0.01954221,0.05807032,0.0144695,0.0168325,0.05096141,0.08130892,0.01752587,0.0534664,0.01001936,0.01004162,0.01213352,0.01808152,0.04061034,0.01001776,0.01000407,0.01000135,0.01000295,0.01179908,0.11546637,0.01000604,0.01000554,0.01000761,0.01001495,0.01001052,0.05369729,0.02706253,0.02441694,0.01005783,0.01009196,0.04886242,0.08570681,0.01001346,0.01000621,0.01000294,0.02200789,0.01200456,0.01019144,0.03316584,0.02082838,0.01410669,0.01007878,0.09774465,0.01020862,0.0100748,0.01210673,0.08558781,0.01438553,0.0552745,0.01003309,0.01003149,0.01000208,0.05366401,0.10191428,0.04067046,0.01000271,0.01000091,0.01000195
0.79,0.04902367,0.08894516,0.01006988,0.0100305,0.01710765,0.05630149,0.01154555,0.03576378,0.02090553,0.01285661,0.01026327,0.01058613,0.08452762,0.07164544,0.01003671,0.0100173,0.01002937,0.01001212,0.0100354,0.01025591,0.01006181,0.0116435,0.01969162,0.03173443,0.04839924,0.01211333,0.01405126,0.07826827,0.06776787,0.01993658,0.04456812,0.01004263,0.0101187,0.05459555,0.01507269,0.03384482,0.01015885,0.01001485,0.01000504,0.0100105,0.05370418,0.12623367,0.01210377,0.01077348,0.02595756,0.03873442,0.03586123,0.04475596,0.02255592,0.02035787,0.02013861,0.03313145,0.0656049,0.09092749,0.01002062,0.01001383,0.01036682,0.01834194,0.01001447,0.01001049,0.02764188,0.01736356,0.0117656,0.03354316,0.08145664,0.01001902,0.01000809,0.01010441,0.0713279,0.01199901,0.04606795,0.0465485,0.02101992,0.03207074,0.04472407,0.08493023,0.0561126,0.01002756,0.0100099,0.01001912
0.8,0.04092603,0.07413601,0.01189258,0.01006078,0.01434618,0.04734253,0.01200054,0.02982223,0.01743251,0.01078507,0.01042238,0.0108936,0.08112899,0.14016612,0.01170727,0.01008645,0.01200338,0.01000993,0.01004532,0.01741773,0.01002106,0.01003648,0.01649096,0.02656439,0.04034342,0.01013462,0.0117208,0.06776496,0.05648964,0.01663041,0.03715837,0.01003326,0.01010021,0.04808176,0.01257203,0.02821292,0.0122171,0.01006749,0.01002712,0.01005113,0.04475958,0.10519666,0.01009878,0.01002395,0.02163837,0.03228745,0.02989331,0.03731351,0.01880646,0.01698466,0.01679565,0.02761857,0.06626366,0.08825952,0.01011644,0.0100517,0.01001575,0.01529381,0.01207064,0.01205175,0.02304233,0.01449984,0.01233172,0.0279686,0.06788404,0.01013598,0.01027051,0.01415959,0.05944502,0.01001299,0.03839859,0.04428982,0.01757416,0.0267276,0.03727209,0.07080111,0.04679499,0.01001181,0.01000408,0.01000867
0.81,0.0341428,0.06180368,0.01002029,0.01001248,0.01196887,0.03949287,0.01001609,0.02907292,0.01454002,0.01011683,0.01010569,0.01008797,0.08504353,0.1326933,0.01002295,0.01000975,0.01001307,0.01002039,0.01006622,0.01453262,0.01006143,0.01038654,0.01963995,0.02222183,0.04657799,0.01141344,0.01303801,0.06240582,0.06545837,0.03815847,0.04964218,0.01000901,0.01002706,0.04998092,0.02051352,0.02351739,0.01020985,0.01000917,0.01000305,0.01000671,0.03734472,0.11185054,0.01005696,0.0100436,0.01807147,0.02696733,0.03968848,0.03111685,0.01568039,0.01418301,0.0177658,0.02858572,0.06340149,0.09023774,0.01003504,0.01002006,0.01002859,0.01274988,0.01008462,0.01007476,0.01920887,0.01210168,0.01032244,0.02353597,0.05657466,0.01002324,0.01000847,0.01182227,0.04954624,0.01001278,0.03200861,0.06504968,0.02513066,0.02301277,0.03106335,0.05900363,0.04001826,0.01001191,0.01000407,0.01000866
0.82,0.030138,0.09666124,0.01002541,0.01001445,0.01007413,0.03389522,0.01001531,0.02482516,0.01213766,0.01017724,0.01032835,0.01036948,0.08043759,0.1233073,0.01002346,0.0100102,0.01001062,0.01001519,0.01003925,0.01212463,0.01004728,0.01017744,0.01642223,0.01992955,0.04947736,0.01012418,0.01088283,0.05820013,0.07210912,0.06478879,0.04822705,0.01000983,0.01002879,0.05801513,0.0171167,0.01962018,0.03637151,0.01001139,0.01000381,0.01000828,0.0479568,0.09322092,0.01714182,0.01030721,0.03458587,0.02640815,0.03921424,0.02595725,0.0130854,0.01185659,0.01481548,0.02382686,0.05868029,0.08975806,0.0100328,0.01002236,0.01005895,0.01063421,0.01003108,0.01002525,0.01601665,0.01012458,0.01005503,0.02569093,0.04715119,0.01007835,0.01008686,0.01003017,0.04130039,0.01001334,0.02668469,0.06189338,0.03880779,0.02358772,0.02588853,0.04917415,0.03335323,0.01001749,0.01000603,0.0100128
0.83,0.05172411,0.09222988,0.01002972,0.01001568,0.01021754,0.04384648,0.01001345,0.02088095,0.01016789,0.01020125,0.01108375,0.02109657,0.07530518,0.11523363,0.01001973,0.01000929,0.01001121,0.01001392,0.01002809,0.01012411,0.01004505,0.01009161,0.0137268,0.02162685,0.04978013,0.01006621,0.01003164,0.04874733,0.07356708,0.07299631,0.04205626,0.01000854,0.0100261,0.06877463,0.01429893,0.01647507,0.04421976,0.01001412,0.01000473,0.01001031,0.04564676,0.08804912,0.02292668,0.01460278,0.03457102,0.02357605,0.04688871,0.02167572,0.01095459,0.01016843,0.01244271,0.01996332,0.05476984,0.08722252,0.01003297,0.0100232,0.01006814,0.01003454,0.01003479,0.01002609,0.01336138,0.01007071,0.01006008,0.02423905,0.03929963,0.01033998,0.01122851,0.01003214,0.0344366,0.01001219,0.02225251,0.05159101,0.03516332,0.02859428,0.02157733,0.04098227,0.02780909,0.01001748,0.01000598,0.01001287
0.84,0.04794794,0.09824362,0.01003223,0.0100152,0.01041696,0.05193891,0.01001575,0.01777815,0.01008666,0.01020152,0.01267738,0.02322536,0.07037726,0.10718533,0.01002416,0.01001039,0.01001364,0.01001083,0.01002723,0.0100737,0.01003215,0.01007208,0.01154337,0.02310446,0.04174809,0.01005559,0.01003034,0.04409735,0.07022764,0.07147382,0.04024928,0.01000834,0.01002546,0.07696877,0.01194973,0.01923922,0.04845469,0.01001562,0.01000523,0.01001146,0.04570712,0.07703169,0.02567511,0.01234157,0.03680413,0.02349761,0.04678618,0.01814391,0.01013965,0.01016678,0.0104009,0.01664741,0.05261538,0.08177729,0.01003365,0.01002365,0.01009209,0.01003706,0.01003304,0.01002575,0.01115973,0.01007204,0.01005838,0.02452476,0.03275803,0.01029593,0.01058181,0.01003169,0.02874408,0.01001263,0.0185701,0.04299701,0.02937568,0.03684949,0.01798445,0.0341593,0.02318247,0.01001795,0.01000611,0.01001323
0.85,0.05155656,0.08839851,0.01003628,0.01001746,0.01076777,0.04519937,0.01001643,0.01694689,0.01009175,0.01023154,0.01350609,0.02281257,0.06309107,0.0920868,0.01002036,0.01000978,0.01001288,0.010013,0.01002449,0.01003573,0.01004129,0.01006993,0.01012236,0.0231622,0.03972533,0.01005227,0.01002862,0.0367609,0.07117361,0.07621104,0.03399208,0.01001056,0.01003233,0.08600752,0.01024501,0.01749467,0.04855873,0.01001426,0.01000473,0.01001045,0.06340168,0.08013645,0.02515687,0.01034961,0.04937409,0.04677868,0.04306636,0.01526244,0.01016246,0.01015422,0.01037049,0.01851626,0.04869577,0.07043234,0.01003403,0.01002115,0.01012481,0.01001607,0.0100253,0.0100285,0.010041,0.01005384,0.0100627,0.03415556,0.02730789,0.01025185,0.01025665,0.01006233,0.02940474,0.01001782,0.01555003,0.03583341,0.02450454,0.04840976,0.01499127,0.02847728,0.04190886,0.01001794,0.01000605,0.01001321
0.86,0.05253303,0.0937968,0.01002827,0.01001436,0.01017041,0.03963651,0.01001307,0.0142856,0.01008115,0.01032152,0.01270818,0.01926217,0.05259096,0.07675255,0.01001761,0.01000847,0.01001041,0.01001251,0.01002264,0.01003088,0.01004158,0.0100705,0.01012562,0.01953903,0.03316301,0.01003058,0.01001237,0.03064743,0.05959134,0.08714261,0.02839886,0.01000871,0.01002794,0.1014206,0.01088058,0.01462731,0.04049335,0.01001075,0.01000348,0.01000787,0.06225527,0.13003637,0.02655975,0.01007565,0.05543615,0.0589916,0.0427758,0.01288821,0.01008114,0.01022086,0.01088617,0.02249345,0.04779241,0.06080936,0.01004248,0.01002448,0.02684747,0.0100111,0.01002195,0.01003597,0.0100316,0.01004387,0.01006856,0.03417779,0.02276675,0.01004943,0.01002327,0.02532358,0.03560113,0.01003477,0.01329632,0.02986329,0.02044037,0.06313493,0.01249815,0.02383168,0.04976939,0.01002403,0.01000825,0.01001782
0.87,0.0464465,0.07819954,0.01006014,0.01002988,0.01239071,0.03317472,0.01001464,0.01195378,0.0101211,0.01013391,0.01064256,0.01607373,0.04384042,0.06398694,0.01002281,0.01001244,0.01001708,0.0100215,0.01002861,0.01002669,0.01007005,0.01007876,0.01007449,0.01637248,0.02765194,0.01015193,0.01097068,0.02555085,0.0496862,0.07293,0.02368727,0.01000969,0.01002967,0.11734879,0.01039767,0.01220066,0.03375485,0.01007764,0.0100285,0.01005661,0.08135073,0.11533255,0.03116315,0.01006624,0.06609097,0.07230262,0.05046595,0.01136032,0.01004788,0.01031514,0.01747605,0.02446804,0.04579739,0.05967817,0.01004036,0.01002274,0.03523543,0.01000926,0.01001902,0.0100338,0.01002582,0.01003768,0.01006244,0.04110911,0.01898368,0.01002306,0.01001152,0.0296187,0.04649166,0.01004166,0.01405529,0.02488813,0.01705955,0.08037601,0.01042504,0.01991325,0.04497879,0.01002527,0.01000871,0.01001882
0.88,0.04194036,0.06519525,0.01006989,0.01002338,0.02513241,0.04384071,0.01001575,0.01018785,0.0101019,0.01012778,0.01019764,0.01347083,0.03690263,0.05357791,0.01003139,0.01001478,0.0100262,0.01000969,0.01002287,0.01004875,0.01002668,0.01004509,0.01010075,0.01475416,0.02305337,0.01022881,0.01018398,0.02139905,0.04142631,0.06190316,0.01976063,0.01000811,0.01002598,0.12875216,0.01005829,0.01018862,0.03501473,0.01045067,0.02001293,0.01074216,0.07300647,0.10158931,0.03368029,0.0100685,0.06880343,0.07636734,0.05227756,0.01202457,0.01008394,0.01028487,0.01457949,0.02039919,0.03826244,0.05779559,0.0100334,0.01001891,0.05523569,0.01000736,0.0100152,0.01002645,0.01002039,0.01002965,0.01004985,0.03896279,0.01583163,0.01003069,0.01001739,0.03623875,0.03914338,0.01001338,0.01287586,0.02074218,0.01425982,0.10855019,0.01002104,0.01660212,0.03748491,0.01001471,0.01000464,0.01001063
0.89,0.03499814,0.05434166,0.01025973,0.01003756,0.02115962,0.03657603,0.01159657,0.01017989,0.01007879,0.01014108,0.0108141,0.01987409,0.03080856,0.04620051,0.01022328,0.01005432,0.01726771,0.01001421,0.01004098,0.01061449,0.01003408,0.01005825,0.01016764,0.01259484,0.01921975,0.01006497,0.01003512,0.01784043,0.03453333,0.05158764,0.01648375,0.01002278,0.01005133,0.13314599,0.01005795,0.01010107,0.05810038,0.01073214,0.02720308,0.01225424,0.06086043,0.08466637,0.02812706,0.01013738,0.05737437,0.06367586,0.04358061,0.01021194,0.0101048,0.01009311,0.01216881,0.01700812,0.03191843,0.05382747,0.0101329,0.01008855,0.06851232,0.0100121,0.01002914,0.01008004,0.01002986,0.01004663,0.01009252,0.03251316,0.0132053,0.01489483,0.01753949,0.03689201,0.0326535,0.02014673,0.01084003,0.01728697,0.01191781,0.11695214,0.01004838,0.01384025,0.03124092,0.01042698,0.01187177,0.01047364
0.9,0.03437769,0.04532035,0.01689109,0.01440817,0.01775466,0.03051691,0.01438611,0.01017279,0.01007871,0.01016047,0.01394417,0.03117008,0.03080126,0.04142881,0.01200915,0.01201376,0.01442233,0.0100089,0.01003304,0.01022487,0.01002104,0.01003704,0.01007304,0.01524839,0.0160287,0.01005023,0.01002738,0.01487072,0.02879086,0.04300534,0.01375389,0.01245833,0.01232435,0.1351627,0.01001916,0.01037435,0.0725057,0.01176914,0.03594968,0.01526498,0.05077595,0.07058402,0.02348941,0.01006378,0.04805533,0.05753629,0.03633802,0.01031485,0.01041045,0.01015666,0.01018053,0.01418533,0.02667227,0.05562147,0.01020926,0.01010979,0.07365605,0.01000877,0.01002315,0.0101118,0.01002222,0.01003735,0.01009105,0.0279378,0.01102563,0.01466759,0.04040227,0.05788604,0.0273121,0.10614175,0.01124298,0.01440768,0.0102708,0.14023528,0.01002935,0.01154442,0.02603719,0.01003262,0.01001119,0.01002334
0.91,0.03308009,0.07625761,0.01408843,0.01203177,0.01480757,0.02544841,0.01199248,0.0101707,0.01007049,0.01021128,0.01504002,0.03065274,0.02572053,0.03741964,0.01003737,0.01002814,0.01202221,0.01205584,0.01005464,0.01002352,0.01166732,0.01015742,0.01006849,0.01276058,0.01437203,0.01003168,0.01001553,0.0123949,0.02403159,0.1362472,0.01150278,0.010388,0.01029605,0.13494214,0.01028732,0.0204201,0.07929455,0.01326465,0.0414454,0.01811643,0.06134567,0.11174836,0.01960766,0.01002939,0.05292774,0.07189121,0.03028785,0.01017924,0.01009534,0.01010574,0.01013771,0.01187136,0.0254966,0.05740853,0.01004486,0.01002319,0.06141455,0.0100068,0.01001594,0.01004235,0.01001882,0.01003065,0.0100654,0.02652129,0.01016934,0.01225385,0.03367373,0.09813529,0.05111501,0.12171763,0.01702699,0.01200816,0.01003586,0.15464514,0.01003845,0.01002775,0.02170707,0.01069448,0.02584712,0.01160661
0.92,0.05000104,0.08756978,0.01175283,0.01005274,0.01234876,0.02123653,0.01000962,0.01016778,0.0100872,0.0101571,0.01267993,0.03163463,0.02148225,0.03395203,0.01001618,0.0100096,0.01002391,0.01166818,0.01003198,0.01001732,0.01860181,0.01012485,0.01005202,0.01074027,0.07913595,0.01004825,0.01002951,0.01033371,0.07069723,0.12002213,0.01321865,0.01000702,0.01002376,0.13611875,0.05613859,0.0170519,0.0914417,0.01509944,0.04733599,0.02092284,0.07252873,0.0931763,0.01638324,0.01001786,0.06082272,0.10855078,0.02525472,0.01016931,0.0100741,0.01014585,0.01147873,0.01204059,0.03742697,0.07197642,0.01005239,0.01002465,0.06213356,0.01000473,0.01001216,0.01005186,0.01001304,0.01002282,0.01006258,0.03374194,0.01010978,0.01023723,0.02920314,0.1097541,0.07248823,0.12066502,0.03021127,0.01001129,0.01002673,0.1682983,0.01002716,0.01012097,0.01809635,0.01238605,0.04048326,0.01670276
0.93,0.04171865,0.13463198,0.01001038,0.01000783,0.01029879,0.01773228,0.01000352,0.01016355,0.0100797,0.01023196,0.02322633,0.04425279,0.04475463,0.03070251,0.01001008,0.01000525,0.01000422,0.01700371,0.01003453,0.01001709,0.03486591,0.01431418,0.01016954,0.01004506,0.0796562,0.01003521,0.01001758,0.01002252,0.06187114,0.10002111,0.02038279,0.01000275,0.01000885,0.1371153,0.04679229,0.04229105,0.10341929,0.01696798,0.05487143,0.02387896,0.06370904,0.0777189,0.01685305,0.01002068,0.06787821,0.10229818,0.02108395,0.01016802,0.01013525,0.0100842,0.01005316,0.01007575,0.03879626,0.07136795,0.01002001,0.01001133,0.08837199,0.01000392,0.0100087,0.01001593,0.01001112,0.01001725,0.01003178,0.03434716,0.01017143,0.01839452,0.02445257,0.11478947,0.06048304,0.10898907,0.02536596,0.01000689,0.0100284,0.17327403,0.01002055,0.0100195,0.01508537,0.0142036,0.04513737,0.0197143
0.94,0.06669921,0.11323363,0.01001914,0.01001649,0.01006523,0.01946337,0.01000487,0.01016241,0.01006654,0.01029596,0.02798217,0.05171966,0.03734144,0.02781179,0.01001005,0.01000575,0.01000596,0.05427258,0.01002578,0.01001145,0.03591956,0.01201028,0.01004513,0.01015619,0.06638751,0.01002151,0.01001044,0.01001023,0.05156593,0.08335191,0.01699917,0.01000379,0.01001248,0.13561052,0.03899818,0.03830666,0.10736116,0.0170265,0.05300793,0.02385282,0.05310142,0.06477034,0.01408838,0.01001682,0.0565815,0.08526436,0.02485857,0.01016458,0.01009227,0.01009915,0.0101894,0.01016574,0.03729121,0.06365612,0.0104698,0.01015754,0.09811359,0.01000455,0.01001337,0.01025476,0.01001177,0.01002197,0.01008252,0.0286536,0.01003638,0.01534884,0.02038313,0.10410691,0.05041509,0.0985174,0.02119779,0.010009,0.01003068,0.17256885,0.01002491,0.01002984,0.01259715,0.01578137,0.04981754,0.02203607
0.95,0.05559821,0.09436678,0.0430667,0.06702229,0.04015526,0.01650494,0.01002979,0.01016834,0.01006009,0.0105865,0.026298,0.04885893,0.03491066,0.02443895,0.01001385,0.0100097,0.01002115,0.04553133,0.01002943,0.01001379,0.02998357,0.01014448,0.01003891,0.01925871,0.05532628,0.01001577,0.01000768,0.01001079,0.04297483,0.06946046,0.0141748,0.01011001,0.01018665,0.13033584,0.03250252,0.06002193,0.09866871,0.0147227,0.04432275,0.02034801,0.04426782,0.05398537,0.01739103,0.01012185,0.04717843,0.07106874,0.02072478,0.0101626,0.01007953,0.01012202,0.01038065,0.0122219,0.03122709,0.05368611,0.01200904,0.01204177,0.08178176,0.01001101,0.01003023,0.01027278,0.01002616,0.01004263,0.01009626,0.02392341,0.0100471,0.01280786,0.01699175,0.08676556,0.04202627,0.12970788,0.0176955,0.01041731,0.01030562,0.17166385,0.01004137,0.01006285,0.01057572,0.01725004,0.05440365,0.02413049
0.96,0.04633859,0.07864223,0.040707,0.06719083,0.03348485,0.01379073,0.02117574,0.01016791,0.01006531,0.01034494,0.02195293,0.04074479,0.02912142,0.02301887,0.01576986,0.01950238,0.02079655,0.05077323,0.01027339,0.01005649,0.02502311,0.01017529,0.01008183,0.01613163,0.04610818,0.01001665,0.01000825,0.01002733,0.0358152,0.05788472,0.01182457,0.07467054,0.03068926,0.12183096,0.0270906,0.05002466,0.08251748,0.01354664,0.0398478,0.01864275,0.05683253,0.10631852,0.01454123,0.01003891,0.06413931,0.07561185,0.01727439,0.01015998,0.01010084,0.01012971,0.01022057,0.01031434,0.0262865,0.04563808,0.01006056,0.01005479,0.06816196,0.01000603,0.01001319,0.01002803,0.01001674,0.01002454,0.01004226,0.02917854,0.01008,0.01071412,0.01416697,0.08661331,0.0398905,0.1742814,0.01489129,0.01001255,0.01005343,0.17590189,0.01002668,0.01006051,0.04137835,0.01935271,0.05985056,0.0269719
0.97,0.03862291,0.0655399,0.03393377,0.05600047,0.02791459,0.01154784,0.01764945,0.01018449,0.01011155,0.01017458,0.01831888,0.03397208,0.0242948,0.01924745,0.01440395,0.01626321,0.01733515,0.05101325,0.01927939,0.01034411,0.02091957,0.01012553,0.01009132,0.01349028,0.03842761,0.01005862,0.0100489,0.01003032,0.02984993,0.048238,0.01003667,0.06222671,0.02558234,0.11931358,0.02258597,0.04169407,0.07827286,0.01327595,0.04219887,0.01862378,0.07847081,0.11286814,0.01213516,0.0100183,0.06108857,0.08835681,0.01439807,0.01015432,0.01007743,0.01014398,0.01251448,0.02762922,0.02956683,0.0413377,0.01002467,0.01001388,0.05680831,0.01000485,0.01001023,0.01002054,0.01001397,0.01002073,0.01003594,0.02949287,0.01027524,0.01005439,0.01181375,0.10357899,0.06899064,0.19725689,0.02576707,0.01000665,0.01002514,0.18277756,0.01003115,0.01017021,0.04195741,0.02305315,0.07245827,0.03198747
0.98,0.03219515,0.0546247,0.02828242,0.04667017,0.02326815,0.01008858,0.01470912,0.01009708,0.01008319,0.01012643,0.01545057,0.03062508,0.02026998,0.01606837,0.01201626,0.01355576,0.0144477,0.06642862,0.01619732,0.01029625,0.02219177,0.01423309,0.01031375,0.01126804,0.03203189,0.01006227,0.01003442,0.01005933,0.02488346,0.04151795,0.01007238,0.05185645,0.02132184,0.10802119,0.02479432,0.0347567,0.08667827,0.02075552,0.04074398,0.02093772,0.08208587,0.10127887,0.01013283,0.01001049,0.05877542,0.14082433,0.01200176,0.01014859,0.010079,0.01014072,0.01082555,0.0230839,0.0304632,0.0361223,0.01001459,0.01000832,0.04734852,0.01000348,0.01000715,0.01001303,0.01001034,0.01001544,0.01002627,0.03117815,0.01206056,0.01006334,0.0100323,0.1310252,0.13442916,0.19168487,0.05582561,0.01000377,0.01001427,0.18951912,0.01002751,0.01013756,0.03827336,0.02801747,0.08483235,0.03928978
0.99,0.02685155,0.0456245,0.02357302,0.03889504,0.01939709,0.01005588,0.01225888,0.01015266,0.01009266,0.01024822,0.01347519,0.03150615,0.01695546,0.04504369,0.01002673,0.01129904,0.01204127,0.09044585,0.01353561,0.01003431,0.03577279,0.02061244,0.01143312,0.01003122,0.02670759,0.01003095,0.01001544,0.01003241,0.02075305,0.03459886,0.01349714,0.04321471,0.01777175,0.09100107,0.02072503,0.02906719,0.09651139,0.01730398,0.03395554,0.0174533,0.06842939,0.08440795,0.0100285,0.01000818,0.0490532,0.13267988,0.0100315,0.01014819,0.01006035,0.01009115,0.0102469,0.02379306,0.02825463,0.03016042,0.01002257,0.01001316,0.0448171,0.01000269,0.01000634,0.01001813,0.01000762,0.01001245,0.01002746,0.02614219,0.01009186,0.01010432,0.01009135,0.12891723,0.1120385,0.16994031,0.04662026,0.01000381,0.01001363,0.17948489,0.01001882,0.0100311,0.0355435,0.02765523,0.08274094,0.03839446
1.0,0.03838412,0.0503378,0.02305843,0.05325279,0.02968635,0.01172424,0.01022498,0.01027519,0.01010865,0.01030471,0.01970158,0.03947094,0.0338633,0.03762533,0.01001286,0.01000595,0.01003955,0.07546894,0.01133736,0.01001322,0.02986239,0.01722401,0.01004588,0.01390774,0.02226072,0.0100302,0.01001618,0.01000575,0.01729951,0.02883305,0.01127557,0.03602407,0.01485297,0.08740864,0.01727726,0.04884004,0.10744022,0.01442591,0.02829797,0.0145482,0.05707325,0.07036758,0.01005243,0.01001136,0.04106739,0.11073817,0.01006933,0.01015137,0.01007441,0.01014936,0.01921664,0.02734169,0.02355622,0.02513758,0.0100275,0.01001796,0.07804086,0.01000323,0.0100074,0.01001905,0.01000906,0.01001423,0.01002815,0.02227068,0.0100513,0.01004495,0.01002244,0.10744756,0.0933761,0.14353584,0.03886808,0.01000564,0.01001926,0.17034676,0.01002211,0.01028817,0.04059588,0.02498081,0.07289698,0.03424861
1.01,0.03199598,0.04195204,0.0193925,0.04439659,0.02477409,0.0102313,0.09453757,0.01012399,0.01006684,0.01026544,0.02046791,0.03975935,0.02824566,0.04420262,0.01026922,0.01121186,0.01934391,0.06289579,0.0105276,0.0101809,0.02489461,0.01437813,0.01022713,0.01164669,0.01855311,0.01001904,0.01000948,0.0102088,0.01441974,0.024028,0.01009065,0.14168368,0.01245515,0.08025478,0.01440341,0.0494634,0.11226632,0.0120293,0.02358356,0.01212784,0.06936373,0.08842981,0.01011671,0.01001214,0.07849497,0.12293526,0.02974337,0.01015374,0.01006587,0.0101962,0.02323852,0.03530157,0.01964081,0.02095285,0.0100212,0.0100148,0.07880013,0.01000292,0.01000631,0.01001353,0.01000844,0.01001244,0.01002113,0.02974898,0.01005315,0.01002786,0.01001316,0.08954425,0.07782235,0.11961795,0.03240062,0.01000563,0.0100214,0.1668498,0.01001872,0.02652595,0.03383378,0.0240123,0.0688333,0.03277506
1.02,0.02667775,0.03496552,0.04527297,0.08995378,0.0208302,0.01007174,0.09886336,0.01201393,0.01015623,0.01046079,0.01750388,0.04388991,0.06683833,0.03763612,0.02169139,0.03952236,0.05697498,0.05242135,0.02075232,0.01101599,0.02075651,0.01202449,0.01037855,0.02226734,0.0154633,0.01002798,0.01001586,0.01001806,0.01201993,0.0200238,0.01010798,0.14742219,0.06835319,0.0986714,0.01200893,0.0433761,0.12335202,0.01003103,0.01965453,0.01011013,0.07642705,0.09183849,0.03029766,0.01003154,0.07431016,0.10249994,0.02485656,0.01014659,0.01006597,0.01217727,0.01940625,0.02942692,0.01637353,0.01746366,0.01002643,0.01001847,0.06568378,0.01000449,0.01000894,0.01001566,0.01001291,0.01001733,0.01002495,0.02485534,0.01006409,0.0100103,0.01000576,0.07462362,0.06485781,0.09968702,0.02700776,0.01001428,0.01005106,0.194787,0.01002644,0.02212081,0.0282021,0.02027832,0.09303564,0.04216391
1.03,0.02225427,0.02914365,0.06231379,0.08717187,0.04103623,0.01759082,0.08241057,0.01020363,0.01007763,0.01024329,0.02268787,0.05402798,0.05570987,0.03137653,0.02075286,0.03298763,0.07595932,0.04368859,0.01731655,0.01727728,0.01730499,0.01004635,0.01005574,0.02066031,0.01288829,0.01002078,0.01001058,0.0120754,0.01002049,0.01668702,0.01001571,0.12285229,0.05697125,0.1335346,0.01001376,0.03621417,0.13348748,0.01050055,0.03542489,0.01065085,0.06709915,0.07685505,0.02526937,0.01722018,0.0619546,0.08567099,0.02071997,0.010135,0.01181183,0.01026081,0.01619125,0.02453793,0.01365462,0.01456404,0.01005555,0.01016169,0.05474147,0.0100061,0.01001112,0.01001661,0.01001716,0.01001938,0.01002304,0.02073506,0.01003293,0.01232584,0.01730054,0.06219142,0.05405397,0.196675,0.02251381,0.01441044,0.01445312,0.24578135,0.01001929,0.01843711,0.02350286,0.01693309,0.13666508,0.0431746
