time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
2.2,0.01009782,0.01004099,0.01815133,0.02075033,0.01031643,0.0102716,0.02110691,0.01045541,0.01039505,0.01480885,0.07629692,0.09863462,0.11084103,0.01666651,0.02705092,0.0267692,0.02128431,0.23487517,0.07075395,0.03648389,0.01058193,0.08040219,0.04451801,0.01029522,0.01011447,0.01017631,0.01005256,0.02943031,0.01014125,0.01012763,0.01039867,0.02095545,0.02057051,0.43770402,0.06753718,0.18462314,0.34287999,0.0444857,0.07258592,0.05205084,0.01469051,0.01204359,0.05227673,0.05225385,0.06038009,0.01023616,0.11663677,0.01031865,0.01031993,0.01037515,0.02028589,0.03703127,0.01726314,0.19616301,0.01542495,0.03553252,0.04237974,0.04260224,0.01049296,0.01006874,0.03909911,0.01077757,0.01012174,0.01040923,0.0107423,0.01341804,0.01289507,0.01007484,0.01019663,0.01028368,0.01017666,0.24697175,0.13616628,0.08326861,0.01297647,0.01009333,0.03013049,0.02956131,0.02976442,0.02964208
2.21,0.01064364,0.01051465,0.01536077,0.01740578,0.01254459,0.01243437,0.01761685,0.01252564,0.01241115,0.01356467,0.06366945,0.08224083,0.10017592,0.02262218,0.02256538,0.02232334,0.01775906,0.19582323,0.05899147,0.03042311,0.01233521,0.06718502,0.03715584,0.01228487,0.010833,0.0105669,0.01063555,0.02454702,0.01097056,0.04171024,0.01216628,0.01749354,0.01725538,0.36476561,0.16904238,0.15397207,0.28575955,0.03711588,0.06050104,0.04340752,0.01420741,0.01224847,0.0436382,0.04357858,0.05056667,0.01124509,0.09732016,0.0129878,0.01218859,0.01857551,0.02978466,0.03120565,0.04593517,0.16475379,0.02147329,0.02967469,0.03538387,0.0355329,0.01473072,0.01083967,0.03266892,0.01459384,0.01164591,0.01258606,0.0131987,0.01191817,0.01097341,0.0109668,0.01119479,0.0117629,0.01132486,0.20584644,0.11357487,0.0693996,0.01353902,0.05512985,0.0446139,0.02466151,0.0248122,0.02472137
2.22,0.04742512,0.12303742,0.01294262,0.01458183,0.01282701,0.01401498,0.01470105,0.05112759,0.0663677,0.04887104,0.05318069,0.06859661,0.08353806,0.01888467,0.01881951,0.01861309,0.01481365,0.16336791,0.04918114,0.02536581,0.09484948,0.05616249,0.03100481,0.01907262,0.33707565,0.03688514,0.03899672,0.02047145,0.12621761,0.08740827,0.07433958,0.01460178,0.01446291,0.30399267,0.19195736,0.16110102,0.23817675,0.03096118,0.05042715,0.036195,0.081984,0.04184023,0.0364181,0.03634003,0.04238371,0.08591515,0.08126828,0.02607676,0.02450776,0.02155625,0.02541472,0.02633111,0.0389812,0.16081998,0.01873884,0.02476953,0.029531,0.02963173,0.0130216,0.03013357,0.0272826,0.01327395,0.02350926,0.05512711,0.01482612,0.01262748,0.01181085,0.06060192,0.04348515,0.01176498,0.02976611,0.17161209,0.09477026,0.05785434,0.01190459,0.1513708,0.03726007,0.02057049,0.02068286,0.02061488
2.23,0.03969622,0.10258223,0.01101602,0.01225548,0.01154378,0.01236813,0.01227673,0.04322876,0.0553859,0.04097586,0.0448586,0.05757453,0.06973337,0.14684801,0.01570065,0.01552299,0.01236269,0.16729351,0.04101021,0.02115343,0.24215363,0.04713886,0.02588787,0.01643019,0.28133619,0.03083189,0.03253063,0.01707977,0.10546662,0.07718481,0.06323203,0.01219649,0.01215001,0.31892876,0.19669082,0.13432845,0.19928425,0.02585069,0.04203796,0.03019692,0.09381856,0.20129828,0.03039304,0.03030536,0.03549153,0.15587171,0.0678487,0.03009065,0.02896035,0.05757047,0.02378311,0.02220212,0.09531075,0.20385132,0.01630979,0.02067814,0.02464401,0.02471476,0.01203837,0.10061602,0.02279802,0.01221445,0.0442375,0.08322915,0.01346626,0.0115478,0.01030027,0.09825469,0.03873004,0.01051302,0.03436218,0.14304047,0.07915526,0.04821525,0.01082488,0.15463166,0.03123941,0.01715932,0.01724109,0.01719135
2.24,0.03316094,0.08551136,0.01029716,0.01040549,0.01060376,0.01162558,0.01029055,0.03644575,0.04626082,0.0344377,0.03794409,0.04828925,0.05965454,0.20089503,0.01311337,0.01295478,0.01033962,0.20612938,0.03421347,0.01765158,0.20425104,0.0460467,0.02165514,0.014257,0.23460748,0.02574916,0.02713764,0.01427459,0.08800742,0.06433419,0.05321556,0.01022409,0.01037115,0.33589193,0.18192562,0.11323462,0.18144367,0.02161788,0.03505316,0.02521606,0.08041231,0.17144342,0.02536314,0.02527405,0.02967538,0.13090941,0.05659834,0.02698272,0.11339454,0.04975844,0.02012866,0.01867144,0.15504987,0.20687999,0.01380529,0.01726227,0.02056041,0.02062331,0.01105023,0.0842555,0.01909172,0.01193628,0.03995813,0.15713568,0.02694833,0.037117,0.03206086,0.08294635,0.17377487,0.01024348,0.09508331,0.12276565,0.06614347,0.04193549,0.01094181,0.15676674,0.02607707,0.01431553,0.01437259,0.01433758
2.25,0.02769757,0.07127821,0.01057368,0.01068497,0.01085295,0.01104654,0.01017606,0.03059922,0.03863695,0.0290341,0.03832668,0.0501028,0.13513928,0.26420987,0.01099299,0.01084131,0.01013466,0.22643419,0.02855482,0.01474056,0.18669673,0.03891478,0.01812394,0.01241634,0.19558883,0.0215151,0.02264286,0.01194972,0.07339906,0.05419468,0.04451635,0.01018744,0.01044288,0.36329207,0.16204634,0.0944401,0.16247637,0.01883171,0.02932832,0.02145657,0.06730359,0.14306289,0.02116697,0.02108044,0.02479696,0.10942033,0.04721368,0.24762411,0.10120666,0.0481274,0.01813538,0.01582477,0.13010866,0.17259373,0.01176753,0.01441861,0.01715408,0.01722964,0.01152792,0.07107167,0.01610604,0.01731455,0.04390337,0.14640809,0.12019163,0.03234303,0.0833727,0.09018915,0.15648164,0.01009223,0.17746054,0.10231951,0.05527345,0.03494904,0.01353247,0.13108134,0.02184958,0.01194918,0.01198326,0.01196193
2.26,0.0231359,0.05941358,0.01047795,0.010534,0.01062075,0.01082685,0.01019991,0.02572421,0.03228771,0.02447463,0.03212846,0.04183181,0.1129125,0.23938195,0.01026371,0.01017174,0.01016559,0.30855945,0.02385226,0.01233881,0.16649602,0.03300973,0.01520425,0.01137169,0.16305674,0.01798425,0.01889669,0.01040009,0.06121197,0.04516666,0.03722949,0.01016527,0.01043397,0.30304297,0.13548599,0.07907428,0.13552071,0.01668254,0.02453926,0.01850924,0.05631862,0.11940612,0.01767078,0.01758696,0.02072682,0.09145196,0.03937595,0.20691819,0.08523282,0.04058861,0.01552739,0.01351958,0.10849478,0.14386094,0.01058316,0.01206355,0.01431691,0.01443777,0.01414007,0.0601329,0.01418038,0.03462319,0.11271536,0.12484231,0.12545393,0.07621707,0.06967859,0.08070147,0.13217624,0.01005752,0.27715624,0.08535527,0.04613825,0.02916405,0.06181443,0.11910475,0.01827242,0.0100452,0.01001441,0.01003233
2.27,0.01933522,0.04952464,0.01073787,0.01207352,0.01071371,0.01057093,0.01027416,0.02164039,0.02706067,0.02071005,0.02787818,0.03622017,0.09424039,0.21780955,0.01025725,0.0102339,0.01019277,0.38301325,0.01993484,0.01038066,0.22044791,0.02777956,0.0127666,0.01095991,0.13593456,0.01509317,0.0158224,0.01015406,0.0510471,0.04206087,0.03112587,0.01073655,0.01092871,0.25262871,0.1130692,0.06595069,0.11298059,0.04100185,0.02058361,0.01991899,0.04781182,0.1435195,0.0147672,0.01468063,0.01736268,0.07735214,0.03283392,0.17260495,0.09485334,0.03476265,0.01739598,0.01407951,0.09044831,0.11990306,0.01042978,0.01021451,0.01196628,0.01212754,0.01240689,0.05054939,0.01248718,0.02936712,0.09503693,0.10445511,0.19138984,0.0638031,0.05834735,0.09871665,0.27609766,0.14469488,0.23177129,0.07113621,0.03848345,0.02430708,0.05816029,0.16125368,0.01546789,0.01010455,0.01003389,0.01007463
2.28,0.01617049,0.04128243,0.01134282,0.08927634,0.01086603,0.01045521,0.01036029,0.01822133,0.02273027,0.01746074,0.02330812,0.03021797,0.07946064,0.18163224,0.01018729,0.01016796,0.01019123,0.43157613,0.01669323,0.01011592,0.18556156,0.02339828,0.01079365,0.01082235,0.11332381,0.01318324,0.02510782,0.01009885,0.04257234,0.03505322,0.02602864,0.04432848,0.02085056,0.21054276,0.09429713,0.0549967,0.0941849,0.058683,0.01722764,0.01706664,0.0474722,0.18129626,0.01237187,0.01227124,0.01461628,0.08999018,0.02738576,0.14415223,0.1419651,0.09384735,0.01492953,0.01216754,0.0754004,0.09993569,0.0103402,0.010144,0.01014015,0.0103757,0.01116176,0.04257515,0.01138944,0.02479239,0.08227674,0.08785338,0.1678054,0.09267362,0.14762545,0.10646814,0.24940544,0.17356325,0.21149408,0.05930519,0.03210507,0.02026317,0.04908542,0.22412112,0.01299508,0.01010444,0.01003407,0.01007522
2.29,0.01353511,0.03441259,0.01241779,0.15004085,0.01066843,0.01042118,0.01082421,0.0153501,0.02658799,0.01490521,0.0197428,0.02535842,0.06623242,0.15138871,0.01049795,0.01318053,0.01055541,0.47214993,0.01439272,0.0102929,0.15493197,0.01990029,0.01070039,0.01069065,0.0944736,0.02025951,0.09657283,0.01020603,0.03550819,0.04070375,0.02177961,0.22326385,0.04522319,0.17545762,0.07869337,0.04589882,0.07851537,0.08338811,0.01439883,0.01438857,0.07789418,0.18994338,0.01054067,0.01034352,0.01260584,0.09664798,0.02285201,0.12043757,0.14937489,0.09675134,0.0131069,0.010703,0.06286884,0.08330312,0.01041258,0.01017685,0.01017871,0.01025082,0.01079857,0.03630855,0.01087027,0.02090037,0.07045265,0.07427592,0.14083354,0.08695417,0.134211,0.12394809,0.21021308,0.1641107,0.17838694,0.04942969,0.02679413,0.01689015,0.04109039,0.24287806,0.01096682,0.01017545,0.01005802,0.01012624
