time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.0,0.28435352,0.33583342,0.11271005,0.09086435,0.15939886,0.0430739,0.01412112,0.01031993,0.22259437,0.11414155,0.0366472,0.020601,0.01007667,0.01008863,0.01052266,0.01059806,0.04735909,0.48829905,0.09809891,0.01042785,0.26276118,0.08442501,0.01109405,0.01389685,0.02658419,0.03618798,0.07276781,0.03427491,0.01040129,0.01913189,0.01020798,0.13260478,0.12587051,0.01053127,0.01324751,0.12503789,0.01871716,0.05728052,0.04411348,0.05492107,0.23637176,0.99978817,0.01090162,0.01044151,0.02877809,0.01596137,0.01028171,0.31833817,0.31480863,0.21647085,0.03004098,0.01558251,0.01306495,0.17548124,0.01017797,0.01018203,0.01015677,0.0103042,0.01024074,0.0112259,0.25206358,0.01052933,0.02155027,0.04211037,0.99988944,0.01360486,0.0118111,0.24811151,0.99910983,0.4059695,0.38350352,0.01026598,0.01038007,0.01024353,0.48831437,0.45727175,0.01815949,0.01024975,0.01007774,0.01017806
0.01,0.23708971,0.27994174,0.09405788,0.07579835,0.13299217,0.03674578,0.07108198,0.0324511,0.19806149,0.09992563,0.03439209,0.02126608,0.0174654,0.04614423,0.06525421,0.04308618,0.03979307,0.40698568,0.08334631,0.05040517,0.21914602,0.07229196,0.07362238,0.02289084,0.02358015,0.07470309,0.11028575,0.06749076,0.0139751,0.01618361,0.0163801,0.11070767,0.10608157,0.01075273,0.04908966,0.2448177,0.01824548,0.04781505,0.03678923,0.04582392,0.19712456,0.83329221,0.01195899,0.01191091,0.02425637,0.0139937,0.0115292,0.26639881,0.26276761,0.18109078,0.02651141,0.01423986,0.0113798,0.43888678,0.01067681,0.0106634,0.01055363,0.01206754,0.01064451,0.0103835,0.22141935,0.01193736,0.01823694,0.03586218,0.83470086,0.05647372,0.02109107,0.20691256,0.83288684,0.3383655,0.32069293,0.01188545,0.01224388,0.01015348,0.4078558,0.38129798,0.01568542,0.01124803,0.01044507,0.01095994
0.02,0.19771935,0.23338528,0.07850034,0.06324842,0.11098647,0.03336613,0.05975155,0.23688076,0.19374652,0.10059341,0.03199273,0.02021281,0.04516875,0.03954636,0.06414623,0.03707592,0.03341919,0.33920801,0.06995316,0.25896647,0.18275146,0.06099608,0.08131313,0.08899862,0.02084595,0.07966899,0.13230327,0.32557101,0.01758586,0.01396272,0.13709743,0.09240171,0.08892119,0.01053413,0.04178168,0.24620908,0.01699625,0.03992676,0.03068425,0.03824113,0.16439704,0.69448112,0.01131044,0.01162911,0.02045315,0.01247909,0.01588348,0.29131441,0.21925634,0.1513378,0.02670504,0.0137362,0.13837169,0.68477381,0.01158151,0.01136906,0.01067278,0.11353964,0.0124275,0.01129928,0.30062304,0.01865829,0.01609654,0.03093012,0.69594527,0.10194918,0.13055918,0.17268533,0.69427772,0.48975706,0.26969043,0.02576113,0.02852148,0.12862813,0.34653585,0.31788258,0.01414335,0.01014756,0.01004113,0.01009996
0.03,0.16494343,0.19461734,0.06552404,0.05277556,0.09264906,0.07058249,0.04995815,0.23142794,0.18526875,0.0977292,0.03000366,0.01893024,0.04002238,0.0441796,0.05437507,0.03125022,0.02803105,0.28272541,0.05869179,0.23121878,0.15242183,0.05150806,0.11278578,0.07915267,0.01978295,0.09803912,0.14186118,0.38232165,0.15894307,0.01329611,0.32457563,0.07706183,0.07433088,0.01035892,0.03688925,0.23263046,0.01547703,0.03335615,0.02559778,0.03192409,0.13716359,0.5788475,0.01354062,0.01451314,0.01769255,0.01282714,0.01386123,0.24308732,0.18298365,0.12652076,0.03580318,0.04676739,0.53192256,0.89088544,0.01178504,0.01198871,0.01125752,0.09506673,0.01134697,0.01069911,0.2515087,0.01648199,0.01412634,0.02642189,0.58038678,0.08780788,0.1426952,0.14416942,0.57884043,0.45247592,0.22543009,0.0217034,0.02402662,0.23407525,0.33910718,0.26501081,0.02951649,0.01679288,0.01477367,0.01582016
0.04,0.13767294,0.16236439,0.05470945,0.04405157,0.07737245,0.06293054,0.04173141,0.20963644,0.173276,0.09567278,0.02842114,0.01839302,0.04500067,0.03956736,0.0457691,0.02626742,0.02350362,0.23567185,0.04942659,0.19472479,0.12718876,0.04403999,0.11868621,0.06774279,0.02356157,0.10012414,0.13336863,0.32162795,0.32025389,0.03193383,0.37407418,0.06426761,0.06211633,0.01050744,0.06107473,0.23243825,0.01458345,0.02789523,0.02136379,0.02666916,0.1144754,0.48249402,0.01276414,0.01319939,0.01553776,0.01344227,0.0129752,0.31741439,0.15278632,0.10582686,0.04115591,0.05184332,0.4475357,0.7960336,0.01234652,0.01214672,0.01112778,0.08047273,0.01299602,0.01175761,0.21986985,0.02030853,0.01580799,0.02385104,0.48487555,0.08398077,0.12791268,0.12046925,0.48313091,0.43275991,0.19043427,0.01854104,0.02053167,0.19523009,0.32528387,0.22096055,0.03469804,0.01419389,0.01238697,0.01334205
0.05,0.11501204,0.13559818,0.04570231,0.03678824,0.0646529,0.0545128,0.03485627,0.20080229,0.15290285,0.08671309,0.02958427,0.01856814,0.04130446,0.03748443,0.03845182,0.02207536,0.01971969,0.1964934,0.04201168,0.16309389,0.10627096,0.04036707,0.14108297,0.057941,0.14013719,0.09184712,0.12103754,0.26998577,0.32729547,0.04878284,0.37438803,0.05360177,0.05192951,0.01033895,0.14537547,0.20713909,0.01462757,0.02336047,0.01784135,0.02230054,0.09558566,0.40225439,0.01236765,0.01216268,0.01458951,0.0141295,0.01272831,0.2664209,0.1400401,0.09739339,0.03722571,0.04379912,0.37396816,0.66473251,0.01175633,0.01148541,0.01079504,0.06770514,0.0123622,0.01150525,0.24463088,0.0189607,0.01503544,0.02384658,0.52305817,0.07175818,0.11391718,0.10074006,0.4097434,0.55142778,0.25483398,0.01612345,0.01790389,0.16276009,0.31899929,0.18435417,0.03008135,0.01200995,0.0104041,0.01126661
0.06,0.096304,0.11384558,0.03821639,0.03075256,0.0540929,0.04813178,0.02912288,0.1702839,0.14169812,0.083377,0.03053463,0.02169003,0.03817482,0.03345302,0.03230294,0.01858733,0.016599,0.1638975,0.03597418,0.13632742,0.08908901,0.04663018,0.12009304,0.05012286,0.2360656,0.08466568,0.11177714,0.2496206,0.28042919,0.11521968,0.31441499,0.04471318,0.043448,0.0109141,0.15870931,0.20211789,0.016673,0.0196305,0.0149248,0.01869138,0.07983111,0.33536946,0.01183001,0.01174827,0.01327888,0.01286755,0.01185453,0.22427667,0.11811223,0.08380034,0.03427736,0.03738051,0.3698801,0.70987573,0.01127023,0.01116243,0.01059069,0.0571029,0.01136681,0.01078494,0.25877369,0.016667,0.01338605,0.02079174,0.58510527,0.07049765,0.15515331,0.08430979,0.35405992,0.70386266,0.24182216,0.01394665,0.01540137,0.13587489,0.32305236,0.15731674,0.02579173,0.01080049,0.01020269,0.01048076
0.07,0.08080627,0.09566219,0.03198407,0.02572604,0.04530607,0.04305017,0.02434434,0.16123234,0.12733696,0.07737597,0.03171336,0.02105145,0.03788006,0.03281696,0.02717743,0.01570954,0.01403899,0.13675957,0.03106201,0.1140453,0.07497381,0.06162892,0.10599355,0.04376433,0.29871031,0.0813437,0.10673899,0.24067256,0.33198178,0.35556949,0.30345642,0.03730488,0.03638229,0.01042582,0.17417338,0.17655598,0.01663395,0.01654044,0.0125065,0.01569783,0.06670373,0.27965402,0.01144346,0.01150778,0.01226195,0.01188656,0.01117382,0.18842791,0.09936535,0.07089339,0.03370921,0.03594559,0.40591731,0.75997839,0.01104047,0.0110015,0.01047911,0.04837791,0.01092059,0.01055332,0.30510821,0.0147438,0.01212814,0.01806777,0.66229238,0.08119648,0.1888192,0.07064927,0.35983541,0.74684999,0.22476839,0.01214947,0.01327538,0.12897343,0.32824507,0.13120265,0.02615738,0.01142739,0.01041366,0.01097149
0.08,0.06809082,0.08165424,0.02680461,0.0215464,0.03801426,0.04206898,0.02035587,0.13628598,0.11602616,0.0710674,0.03294728,0.02457505,0.03271192,0.02805221,0.0229186,0.01337863,0.01203725,0.11414852,0.02677718,0.0954736,0.06326347,0.05633065,0.09236641,0.03788341,0.34017621,0.07536491,0.10204432,0.22260178,0.44255421,0.4909548,0.30263563,0.03112449,0.03046942,0.01100315,0.18601873,0.15533591,0.01841554,0.01419128,0.01066885,0.01335216,0.05578083,0.2332585,0.01130384,0.01137621,0.01188089,0.01154675,0.01095253,0.15970788,0.08402508,0.06119996,0.03121595,0.03109952,0.42832145,0.78251695,0.01094466,0.01091337,0.01042657,0.04122289,0.01079199,0.01048523,0.31261693,0.0134742,0.01157657,0.01606492,0.68489401,0.09598163,0.21594825,0.05932332,0.35354496,0.73887866,0.21859321,0.01117222,0.01179495,0.13572571,0.33052033,0.109596,0.02253554,0.01193972,0.01060158,0.01137222
0.09,0.05775811,0.07079612,0.02251846,0.01808615,0.03198889,0.04295074,0.01703824,0.11519469,0.11283241,0.06835185,0.03301087,0.02364894,0.02800494,0.02382726,0.0194041,0.01164478,0.0109228,0.09535167,0.02326861,0.08001384,0.05376116,0.05212973,0.08074246,0.03288743,0.36540723,0.07141419,0.10062632,0.19380996,0.45764284,0.44382931,0.28171785,0.02597624,0.02554974,0.01122021,0.17427337,0.14743086,0.01880139,0.01305979,0.0107345,0.01207628,0.04670487,0.19464687,0.01129915,0.01127219,0.01203473,0.01166391,0.01092125,0.15226337,0.07136224,0.05232774,0.03030523,0.02842716,0.44083697,0.7908192,0.01089813,0.01084626,0.01039734,0.03544547,0.01077222,0.01048061,0.31987396,0.01313893,0.01159776,0.01533201,0.72148983,0.10553995,0.23808504,0.04997871,0.42202392,0.7490753,0.24247827,0.01107524,0.01142865,0.14912142,0.33225079,0.09144223,0.02051398,0.01144326,0.01040617,0.01098176
