time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
1.0,0.05191174,0.05231532,0.02869602,0.02307747,0.0396964,0.07636756,0.29610791,0.17735929,0.04783752,0.04383328,0.04726283,0.03982214,0.06087903,0.07460388,0.01783376,0.02413621,0.02981359,0.01060531,0.01103524,0.01143048,0.01211287,0.01214717,0.01261069,0.18236321,0.01296586,0.03598522,0.03518732,0.07830696,0.02057051,0.01065133,0.04102374,0.11454601,0.16461966,0.01469252,0.01147755,0.05170111,0.03580644,0.01106248,0.01038631,0.01074217,0.01105765,0.01059542,0.01258092,0.01979882,0.0113546,0.011479,0.02471176,0.02804503,0.02320678,0.03804569,0.04855412,0.07030064,0.03113193,0.01949852,0.16328206,0.16795982,0.02468837,0.39623146,0.29749665,0.25647242,0.12556641,0.14184076,0.13467531,0.0129014,0.01364651,0.01703757,0.01352573,0.12669129,0.01225842,0.22094983,0.02882983,0.02550338,0.02600883,0.30653562,0.19496318,0.07419156,0.38639249,0.077954,0.17698667,0.08646204
1.01,0.04389301,0.04407122,0.02438295,0.01971453,0.03358078,0.06458176,0.24699304,0.15174698,0.05613242,0.0472506,0.04549909,0.03895325,0.06157745,0.07107297,0.02730268,0.02235444,0.02515793,0.01489342,0.02071465,0.02634057,0.02390154,0.02832834,0.03549909,0.15270725,0.04788263,0.04727026,0.05540249,0.17579827,0.17561215,0.08695002,0.18938371,0.09616834,0.13754835,0.01586817,0.09561318,0.06115808,0.03384318,0.01270949,0.0109351,0.0118482,0.01335873,0.01158784,0.01942805,0.02314218,0.0156018,0.01683318,0.02194904,0.03106789,0.02277387,0.03924527,0.04174718,0.05958324,0.06625813,0.04579771,0.13677895,0.14038769,0.02508068,0.33059041,0.24845737,0.21431145,0.10661832,0.12017068,0.11379911,0.01908937,0.01773867,0.01700466,0.01287524,0.10611383,0.01773013,0.18553931,0.03795063,0.02176334,0.02447254,0.25595887,0.16354717,0.09548461,0.32319693,0.07589035,0.15005724,0.07878419
1.02,0.03705804,0.03711056,0.02069181,0.01684213,0.02837096,0.0545722,0.20605276,0.13593822,0.06719093,0.05314038,0.04447669,0.03789081,0.06028754,0.06777543,0.03124531,0.0205379,0.02121785,0.02733955,0.04684253,0.07419197,0.03710966,0.06137845,0.0864804,0.12800746,0.21915016,0.05512701,0.06168309,0.17880309,0.16400913,0.16978265,0.2439912,0.08075142,0.1149661,0.01419571,0.16500199,0.07056511,0.03141621,0.01289206,0.01093222,0.01191024,0.02428609,0.02218884,0.02086219,0.02196298,0.02144815,0.02879586,0.01910401,0.04804452,0.03553001,0.04972308,0.03702361,0.0509525,0.05822218,0.04765283,0.11433874,0.11719101,0.0215689,0.27603378,0.2075208,0.17893269,0.09182474,0.10201521,0.09607556,0.03206585,0.06443221,0.02138623,0.01702039,0.08886927,0.06109314,0.15564941,0.06354904,0.01888895,0.0240154,0.21348362,0.1380608,0.09640472,0.27045556,0.06374317,0.12518116,0.0660108
1.03,0.03147137,0.03141685,0.01768541,0.01455827,0.02409555,0.04641486,0.17204697,0.12860103,0.07126437,0.05568916,0.0444838,0.03762007,0.05922613,0.06575418,0.03044898,0.01879536,0.01797484,0.0272904,0.04517445,0.07002142,0.03978094,0.06428271,0.08212881,0.10765309,0.207226,0.05482965,0.05888416,0.16508115,0.24513699,0.1511318,0.28811059,0.06798831,0.09619156,0.01315877,0.15471907,0.08192016,0.03128312,0.01295069,0.01094277,0.01192907,0.04251225,0.05156852,0.0229513,0.022426,0.02751172,0.03548392,0.01691348,0.05105039,0.04456316,0.05208685,0.031207,0.04273838,0.04932431,0.04035046,0.09564309,0.09785902,0.01865507,0.23090809,0.17356579,0.14946995,0.08259666,0.08743694,0.08150198,0.03857993,0.11754954,0.02876906,0.02104519,0.07438525,0.07736428,0.13082653,0.06233449,0.01677056,0.02417853,0.17820021,0.11895281,0.09698729,0.23623523,0.05382467,0.10457801,0.05546096
1.04,0.02736243,0.02724252,0.01549761,0.01310316,0.02084285,0.04048208,0.14404328,0.12539909,0.07134072,0.05708033,0.04495351,0.03834375,0.05859228,0.06477532,0.02805091,0.01726438,0.01545739,0.02391982,0.03928632,0.06038314,0.03647124,0.05688478,0.07155763,0.09163851,0.19021247,0.05343226,0.05484706,0.14924249,0.24900577,0.12691263,0.26683397,0.05765153,0.08071101,0.01253791,0.13458742,0.08744572,0.03402619,0.01298771,0.01095407,0.01194635,0.03766795,0.04398183,0.02260699,0.02261967,0.02588265,0.03266739,0.01533327,0.04809523,0.03944432,0.05102115,0.02933517,0.03928952,0.04598403,0.03827835,0.08017692,0.08179531,0.01651584,0.19557337,0.14594131,0.12505131,0.08670291,0.07815496,0.07034631,0.03591579,0.1018434,0.02734956,0.01926812,0.06258335,0.06773655,0.10996483,0.05691233,0.01517624,0.02329755,0.16417006,0.10536182,0.08555027,0.24044704,0.04583856,0.08743865,0.04682033
1.05,0.02591422,0.02612438,0.01481932,0.01316741,0.01918905,0.03889692,0.12078143,0.1227703,0.07066624,0.05727171,0.04500946,0.03843133,0.05839539,0.06456862,0.02607784,0.01663312,0.01414123,0.02073959,0.03388781,0.051745,0.03268056,0.04957349,0.06185911,0.08279828,0.16250082,0.05160333,0.05200325,0.14310665,0.2192689,0.10648802,0.23535752,0.04989001,0.06819211,0.01232501,0.11609005,0.08941102,0.03499768,0.01301303,0.01097002,0.01196189,0.03250547,0.03718139,0.02157351,0.0227888,0.02331409,0.02910505,0.01489944,0.04345764,0.03424655,0.04557295,0.02465591,0.0329345,0.03950095,0.03299641,0.06755181,0.0685071,0.01627378,0.21543512,0.12789198,0.10498097,0.0905402,0.08168278,0.06344578,0.03221727,0.08669832,0.02447347,0.01696363,0.05260497,0.05811636,0.09246014,0.05036151,0.01398359,0.02202597,0.15619098,0.09376724,0.07274115,0.25274858,0.03988213,0.07357988,0.03991413
1.06,0.02568922,0.02584118,0.01494973,0.01342613,0.01869908,0.03922885,0.10295096,0.12189288,0.06998584,0.05654302,0.04466096,0.03814688,0.05853761,0.06483366,0.02478582,0.01655321,0.01400915,0.01822735,0.02953943,0.04471903,0.02973786,0.04377158,0.05428992,0.0803323,0.14253319,0.05155765,0.05246182,0.1436996,0.20263395,0.08946012,0.23059472,0.0442099,0.05807918,0.01219088,0.10193722,0.086905,0.03465656,0.01296564,0.01093132,0.0119077,0.02829592,0.03160721,0.02077393,0.02272475,0.0212783,0.02630891,0.01458536,0.03915807,0.02964542,0.04258427,0.02560431,0.03347218,0.05140832,0.04977894,0.05701303,0.05742214,0.01739927,0.20851652,0.11158984,0.08817197,0.08606003,0.08018638,0.05601648,0.02925424,0.07430067,0.02168422,0.01479372,0.04428081,0.05013906,0.07723709,0.04412,0.0127429,0.02075892,0.13038471,0.08023323,0.06215636,0.23674866,0.03419604,0.06168188,0.03383825
1.07,0.02543453,0.02559326,0.01505776,0.01358365,0.01845143,0.03854153,0.08712074,0.11412129,0.07103316,0.05671016,0.04411696,0.03727973,0.05851392,0.06457118,0.02351257,0.0160874,0.01398963,0.01651424,0.02624079,0.03910529,0.02798267,0.03964103,0.04856536,0.07916201,0.13043182,0.05252036,0.05529642,0.15172103,0.20565054,0.07541052,0.21340458,0.039832,0.04994493,0.01231257,0.09217128,0.08815447,0.03340759,0.01308674,0.01098945,0.01201344,0.03662709,0.04872418,0.03147319,0.06081316,0.02836548,0.02718919,0.01467255,0.03645652,0.05772919,0.04544386,0.02155898,0.02807259,0.0433074,0.04187311,0.0479216,0.04806522,0.01604041,0.2861417,0.0941309,0.07383789,0.13565371,0.07023611,0.04785361,0.03207549,0.11281867,0.05607803,0.07462833,0.03712373,0.04499331,0.06477026,0.03833369,0.03700754,0.02817154,0.10884568,0.06840113,0.05637478,0.24132081,0.02886377,0.0515356,0.02844441
1.08,0.02420574,0.02414858,0.01486496,0.0135437,0.01780949,0.0362169,0.0753012,0.10352017,0.07143638,0.05681277,0.04386468,0.03662574,0.05881502,0.06441346,0.02222378,0.01530793,0.01375451,0.01545182,0.02388509,0.03474685,0.02717728,0.0370003,0.04440411,0.08155161,0.17779195,0.05406391,0.05718907,0.18832389,0.25525961,0.06342704,0.18737884,0.03666119,0.04362349,0.01201362,0.12867315,0.08886836,0.03231964,0.01311483,0.01118063,0.01215777,0.07530868,0.09758386,0.04474686,0.06343057,0.04825853,0.03634203,0.01708066,0.03334062,0.05767344,0.06552694,0.0859009,0.11036791,0.11309135,0.06784531,0.040354,0.0402729,0.01567039,0.24017223,0.07940011,0.06190585,0.11884576,0.06099588,0.04103512,0.04294527,0.12229132,0.12474481,0.06302611,0.03126582,0.0405985,0.05404543,0.0332693,0.14428951,0.07781644,0.09077146,0.05786037,0.2277261,0.30726372,0.02429903,0.0430432,0.02387205
1.09,0.02130863,0.0210015,0.01369353,0.01270902,0.01601348,0.03187114,0.07036957,0.18199569,0.06976148,0.05649201,0.04412025,0.03703294,0.06529605,0.07718855,0.02627337,0.01661476,0.01284278,0.01831596,0.03062544,0.05309266,0.03012181,0.04615356,0.06774623,0.07735893,0.15917066,0.05382585,0.05585479,0.21032125,0.21949428,0.05343837,0.3292068,0.03845539,0.03977858,0.01200367,0.1352404,0.08721255,0.03298634,0.01221442,0.01066649,0.01139612,0.06368013,0.08175213,0.03785318,0.05320499,0.04099954,0.03487118,0.03007548,0.13583078,0.05072673,0.11609238,0.07859576,0.10190128,0.11324673,0.08839148,0.03442128,0.03387567,0.01385184,0.20058593,0.06780445,0.05341251,0.10035105,0.05761016,0.0719779,0.05945606,0.13455409,0.10433801,0.05313971,0.06319313,0.10519388,0.08624868,0.13111721,0.12042525,0.08209182,0.07605963,0.12429105,0.24519413,0.25785899,0.02036195,0.03591002,0.01997342
