time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
1.1,0.05831018,0.21114549,0.01265632,0.01163692,0.01507279,0.01769868,0.01172876,0.03203655,0.01870464,0.02519134,0.02885886,0.02020452,0.07239789,0.18909899,0.01136202,0.01080489,0.01139666,0.01034777,0.01132216,0.01156993,0.01072489,0.01263437,0.01238428,0.01933061,0.01140011,0.0118725,0.01100247,0.01191209,0.08760473,0.26365461,0.03423044,0.01141961,0.01218633,0.01027148,0.22587984,0.08420018,0.10072419,0.01057354,0.0101727,0.0103879,0.01030272,0.01023776,0.01048808,0.01061082,0.01029579,0.01071778,0.01529879,0.03035385,0.01279562,0.01225665,0.01321616,0.01376112,0.14813121,0.3016658,0.01493104,0.01452938,0.01320914,0.07385342,0.01666622,0.01506325,0.01960507,0.01964109,0.01689638,0.01189877,0.0105675,0.02119619,0.01986663,0.01829247,0.01077151,0.01010489,0.02267386,0.06428386,0.03137774,0.06896963,0.02891425,0.0103022,0.01558413,0.01017733,0.01006249,0.01012718
1.11,0.04918312,0.17618815,0.01130748,0.01121587,0.0131403,0.01528805,0.01025988,0.02851906,0.01695183,0.02278122,0.0256225,0.03343205,0.06147855,0.15954118,0.01033491,0.01024405,0.0102561,0.10207117,0.01067183,0.01031661,0.12678265,0.01653771,0.01125816,0.01679575,0.23247044,0.01238416,0.01124472,0.01028914,0.10133546,0.22007195,0.03903165,0.01026181,0.01089715,0.01497256,0.19448066,0.07060907,0.08426153,0.01261278,0.01135588,0.01215617,0.05438693,0.18176941,0.01631177,0.01535036,0.02904421,0.01909481,0.01284963,0.02588242,0.01268717,0.01312875,0.02360858,0.03222548,0.12348567,0.25141762,0.01263884,0.01224575,0.01133361,0.06211513,0.01408303,0.01268673,0.03302037,0.01683255,0.01450322,0.02617516,0.08144731,0.01832422,0.01679233,0.01692438,0.0458004,0.02111995,0.01970964,0.05362205,0.02643052,0.05749461,0.02522496,0.04269901,0.03871943,0.01175483,0.01054611,0.0111652
1.12,0.04135722,0.14704047,0.01058553,0.01056934,0.01161231,0.01341489,0.0101601,0.03213978,0.0213243,0.02221448,0.02305491,0.02867802,0.08351126,0.16000028,0.0102317,0.01015952,0.01015929,0.15214467,0.01056922,0.01025715,0.13918291,0.03123189,0.01118836,0.01486008,0.19446844,0.01646373,0.01560738,0.01025958,0.1004743,0.18345999,0.0600646,0.01014102,0.01041131,0.01277843,0.16320898,0.05948526,0.07213429,0.01148092,0.01047735,0.01105819,0.09324808,0.18121034,0.05095943,0.07016666,0.07249306,0.01785192,0.0108518,0.02204086,0.04422098,0.04191536,0.02399965,0.02755754,0.10297605,0.20957691,0.01079781,0.01042889,0.01033026,0.05785344,0.01196137,0.01073327,0.07335244,0.0144845,0.01252002,0.02563879,0.09793892,0.01564918,0.01413101,0.01558115,0.04029694,0.01800975,0.01696046,0.0448596,0.02241384,0.04795668,0.02252808,0.13824917,0.04473211,0.02479525,0.02310713,0.02447728
1.13,0.03469421,0.12262282,0.01085618,0.010995,0.01123106,0.01215896,0.01042057,0.03781604,0.01894355,0.02143633,0.02615936,0.03711961,0.1038358,0.16461726,0.01050847,0.01034675,0.01028887,0.1568202,0.01212023,0.01066103,0.11689426,0.03144113,0.0135046,0.01378108,0.1622773,0.01492906,0.01357396,0.0106735,0.08409217,0.15293531,0.05139104,0.01053471,0.01108533,0.01342134,0.13649405,0.0510067,0.07546563,0.01098428,0.01032762,0.01069148,0.0781254,0.15117234,0.044405,0.07589746,0.06096923,0.01572619,0.01207107,0.018947,0.03703562,0.03523133,0.02583262,0.03995186,0.11061386,0.22072969,0.01166542,0.01187722,0.01260232,0.1025665,0.01139896,0.01060713,0.06319488,0.01305191,0.01176693,0.02286419,0.08202907,0.01371496,0.01219181,0.01538223,0.03406474,0.01510241,0.01470211,0.05857833,0.03097007,0.05534323,0.01953213,0.11529718,0.04064509,0.02105172,0.01937293,0.02066431
1.14,0.02925066,0.10234974,0.01152544,0.01210782,0.01163418,0.01195133,0.01180138,0.04001969,0.01724063,0.02124576,0.02705647,0.03500097,0.11508186,0.16202217,0.01134857,0.01111798,0.01069662,0.131869,0.01339957,0.01166027,0.09822457,0.027093,0.01371465,0.01406252,0.13550822,0.01366904,0.01214922,0.01134529,0.07047103,0.12749873,0.04406634,0.01668765,0.01610083,0.02144943,0.11691323,0.04759248,0.08156866,0.01097781,0.0103436,0.01070503,0.06548476,0.12621312,0.03725803,0.06344024,0.05106939,0.01388971,0.01258351,0.03240369,0.03409906,0.03024114,0.02226528,0.0336671,0.12665355,0.22834982,0.0114275,0.01110882,0.01108567,0.12412798,0.01212041,0.01081534,0.06913801,0.01444738,0.01237708,0.022176,0.0697342,0.0165515,0.01774269,0.01572993,0.02943564,0.01264451,0.01678548,0.07246002,0.04342417,0.05895544,0.0305106,0.0962009,0.03410343,0.0176217,0.0161698,0.01727521
1.15,0.02602215,0.08639475,0.01176573,0.01236877,0.01240221,0.01244647,0.01181168,0.04580042,0.01618002,0.02081553,0.02886049,0.03846934,0.0967819,0.13560693,0.01064313,0.01051646,0.01049707,0.11087804,0.01175304,0.01059097,0.08381005,0.02309988,0.0121812,0.01585581,0.11391506,0.0132954,0.0119901,0.01044551,0.05982048,0.13137681,0.0398829,0.01442796,0.01511411,0.03364155,0.12231921,0.0428749,0.09168611,0.01036658,0.01011754,0.01024915,0.05504284,0.10544162,0.03128347,0.05306972,0.04283653,0.01250995,0.0140964,0.04352492,0.02868141,0.02575249,0.02049239,0.02915137,0.11384433,0.20695732,0.01198393,0.01160271,0.01076584,0.11601361,0.01362727,0.011317,0.07308205,0.01704481,0.01318559,0.02154476,0.05981619,0.0216202,0.02180231,0.01612932,0.02587339,0.01063299,0.02540878,0.06057371,0.03713944,0.06632753,0.02745762,0.08028626,0.0290323,0.01477768,0.01350475,0.01445956
1.16,0.03523539,0.14426478,0.01134464,0.01188867,0.01213275,0.01209402,0.01040298,0.03891104,0.01529647,0.02106737,0.03212909,0.04476181,0.08127494,0.11396399,0.01037836,0.01031073,0.01031339,0.12607979,0.01077701,0.01033201,0.11207666,0.01978778,0.01115113,0.01427655,0.14873622,0.0126888,0.01141525,0.01027721,0.06053902,0.13151227,0.03562707,0.01212561,0.01288213,0.05216749,0.13135038,0.05459015,0.10145424,0.01167306,0.01059821,0.01119316,0.05048772,0.14659671,0.02638562,0.04444239,0.03633616,0.01455331,0.01209716,0.03730373,0.0248583,0.02289229,0.02287443,0.02721948,0.09842758,0.18961245,0.01122118,0.01082202,0.01070433,0.09718996,0.01227349,0.010891,0.06301626,0.01558769,0.01278191,0.02406451,0.06723868,0.01877866,0.01844612,0.01605148,0.03757265,0.01110717,0.02438307,0.05053464,0.03120364,0.0617488,0.02829393,0.06751544,0.03399993,0.0126318,0.01135234,0.01225747
1.17,0.04376726,0.14900255,0.01101958,0.01134566,0.01197308,0.01203077,0.01022697,0.03340701,0.0145689,0.02120261,0.03376712,0.04795423,0.08303506,0.11836152,0.01026928,0.01020927,0.01021958,0.12673252,0.01053306,0.0102479,0.14463943,0.01708733,0.01084692,0.01321987,0.20473756,0.01217824,0.01109314,0.0102186,0.06457763,0.10978966,0.03329182,0.01031358,0.0111219,0.05622469,0.12898912,0.05964439,0.10641773,0.01324906,0.01210165,0.01278538,0.06709904,0.14407239,0.02231452,0.03725703,0.0310051,0.01565692,0.01061446,0.0320808,0.02118613,0.02040902,0.0241987,0.02984283,0.0960482,0.18818327,0.0108196,0.01050784,0.01053216,0.08177737,0.01135187,0.01063761,0.05702422,0.01449962,0.01235376,0.02298676,0.11732501,0.01649781,0.01580117,0.01569031,0.06203147,0.01766476,0.02316124,0.04217986,0.02622255,0.0536045,0.04075112,0.05649237,0.02902677,0.01317002,0.01181253,0.01263994
1.18,0.03733821,0.12452299,0.01127002,0.01218809,0.01244658,0.01187682,0.0102969,0.03208944,0.01433002,0.02149391,0.03445477,0.04897369,0.09463636,0.12976529,0.01023095,0.0101942,0.01021866,0.12215724,0.01038666,0.0101892,0.14627864,0.01492593,0.01057438,0.01313333,0.17147973,0.01207958,0.01111423,0.01015915,0.05454855,0.09158974,0.03004149,0.0105816,0.01138211,0.05767716,0.12611137,0.06134756,0.11058947,0.01176436,0.01054871,0.011274,0.05716859,0.120774,0.01890153,0.03128752,0.0263295,0.014285,0.01044356,0.02942654,0.01948501,0.02050704,0.02323359,0.02699575,0.1039061,0.19110489,0.01082305,0.01049912,0.01039864,0.10375547,0.0117256,0.01073836,0.07433822,0.01591254,0.0126998,0.0211273,0.10594788,0.01493636,0.01371919,0.01547859,0.05652292,0.01489684,0.02813408,0.035259,0.0222173,0.0447679,0.04433159,0.05447194,0.02638128,0.01188129,0.01063477,0.01139321
1.19,0.03144461,0.10390429,0.01172135,0.01484473,0.0122408,0.0116353,0.01061521,0.03470157,0.013957,0.02177744,0.03471036,0.04871564,0.10114267,0.13850638,0.01034425,0.01031284,0.01033185,0.14465898,0.01061859,0.0102699,0.12600818,0.01416808,0.01081454,0.0129882,0.14330141,0.01172248,0.01079609,0.01023075,0.04586378,0.07639242,0.02682828,0.0204488,0.01817081,0.05717289,0.13413342,0.05718661,0.10921111,0.01117189,0.01040627,0.01084327,0.04913171,0.10136665,0.01626742,0.02651232,0.02268805,0.01334096,0.01083605,0.03853386,0.01988069,0.02084104,0.02085604,0.02324911,0.11375044,0.19520467,0.01102243,0.01065479,0.01047061,0.12235842,0.01215839,0.01085199,0.07495188,0.01602143,0.01282393,0.02139318,0.0911614,0.01643965,0.01597578,0.01519757,0.04955167,0.01251331,0.02777562,0.02979811,0.02088274,0.03752875,0.03770915,0.04581022,0.02217245,0.01084109,0.01026184,0.01057642
