time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.5,0.07938036,0.07346822,0.04084943,0.02962109,0.06101156,0.06543593,0.03273269,0.01004791,0.15487421,0.06501726,0.01225337,0.15986513,0.18542905,0.15302675,0.03105967,0.02999982,0.03548793,0.01089815,0.01260765,0.01409068,0.01029014,0.01022673,0.01548587,0.01737124,0.0100233,0.22944586,0.16905458,0.0936855,0.01002804,0.06973051,0.01002958,0.22203179,0.01776465,0.1276292,0.01003334,0.01000887,0.12794915,0.02479198,0.02470777,0.17732789,0.010154,0.01290362,0.01491219,0.01454986,0.01197576,0.01023363,0.01699049,0.12360954,0.18295474,0.0109084,0.01078511,0.01051411,0.01728176,0.01726023,0.01324033,0.01411355,0.01436312,0.01490634,0.01362501,0.01235857,0.01876943,0.01266,0.01181465,0.01210338,0.01009818,0.05214427,0.15525838,0.011031,0.01008501,0.01000724,0.01032776,0.21446358,0.04908526,0.01239814,0.01008145,0.02135398,0.01013384,0.01006093,0.01001948,0.01004335
0.51,0.06621862,0.06211732,0.0340595,0.0247015,0.05086496,0.05465314,0.02729615,0.01380022,0.17454659,0.08579494,0.01030277,0.13324244,0.15452913,0.12752447,0.02592556,0.02502087,0.02958866,0.01021246,0.01105856,0.01208888,0.01052846,0.01126914,0.01598292,0.01730854,0.02328804,0.19124047,0.14088964,0.07824764,0.11304699,0.05839297,0.01709976,0.18503712,0.01484317,0.10635828,0.01375832,0.17445052,0.1066474,0.02067435,0.02059446,0.14778053,0.12136384,0.25326751,0.01254381,0.01217904,0.02611782,0.06191902,0.01417662,0.10356544,0.20064316,0.03865365,0.01289796,0.01208706,0.01448983,0.01443288,0.01108833,0.01178786,0.01200386,0.01248531,0.01143876,0.01037896,0.01630969,0.01153001,0.01048298,0.09662144,0.22307323,0.04373651,0.12946783,0.01009317,0.01897242,0.09041994,0.04732268,0.1787264,0.04093698,0.01078569,0.01304966,0.18520518,0.0118728,0.01009643,0.01003065,0.01006842
0.52,0.05521956,0.05180846,0.02839822,0.02060145,0.04240404,0.04560312,0.02276815,0.01182248,0.14566896,0.07194951,0.02531317,0.11106008,0.12877835,0.1062717,0.02164824,0.02087238,0.02467019,0.01074133,0.01032666,0.01034389,0.01191476,0.01098983,0.01412746,0.01456658,0.05054503,0.15941107,0.11741765,0.0726544,0.09505968,0.08149079,0.0147935,0.15420732,0.01240237,0.08863554,0.05158206,0.25688279,0.08890188,0.01724254,0.01716653,0.12316797,0.13762589,0.21396645,0.01053863,0.01020095,0.02211443,0.10422238,0.01183209,0.08929505,0.20611261,0.12340936,0.01124872,0.01046785,0.01210263,0.01204229,0.01010238,0.01004693,0.01007072,0.01048426,0.01020751,0.01018205,0.01395879,0.0142642,0.01318835,0.08783629,0.27241813,0.07172025,0.10796717,0.02107903,0.42641455,0.12758132,0.19964619,0.14894663,0.03414138,0.0100259,0.05818653,0.271835,0.01024946,0.01005709,0.01001835,0.010041
0.53,0.04603527,0.04318632,0.02367771,0.01718209,0.03534896,0.03803986,0.01903112,0.0110826,0.12149422,0.09798361,0.03919872,0.09256356,0.1073556,0.08859395,0.01811873,0.01742426,0.02057146,0.01016338,0.04628791,0.03961398,0.01028176,0.05584928,0.05766783,0.01222816,0.04220153,0.13289032,0.09786371,0.09969214,0.07933141,0.06791545,0.10950699,0.14438297,0.01039095,0.08279527,0.04346229,0.21408964,0.07409525,0.01437838,0.01430852,0.10264695,0.11625664,0.17865232,0.01011181,0.01006306,0.0191437,0.10431136,0.01005351,0.07476334,0.17201322,0.10344217,0.01017446,0.01007388,0.01010888,0.01004915,0.01007488,0.01003439,0.01003573,0.01011117,0.01015388,0.01013501,0.01193356,0.01243193,0.01195633,0.10764189,0.22708078,0.06237353,0.09000151,0.03884705,0.35538895,0.1258215,0.16652927,0.12413145,0.02849551,0.01000685,0.04854054,0.3234772,0.01003736,0.01003421,0.01001121,0.01002498
0.54,0.03839959,0.03606265,0.0197459,0.01433955,0.02947197,0.03173727,0.01595085,0.14296071,0.10127415,0.08169518,0.03274166,0.07715681,0.10567892,0.15105088,0.01514206,0.01454489,0.01715407,0.05887984,0.03868404,0.03305656,0.06124853,0.05715453,0.04830131,0.02217744,0.23704853,0.15701294,0.0869284,0.11023468,0.18621599,0.29571391,0.23206553,0.16617744,0.01850868,0.06900201,0.03756972,0.17841695,0.06175873,0.01198939,0.01192616,0.08554607,0.0971304,0.14898067,0.0143773,0.01047965,0.06385944,0.08754978,0.02927234,0.06241772,0.14362356,0.08647016,0.01456879,0.01038273,0.01004309,0.01002169,0.01241424,0.01048244,0.01897654,0.010128,0.01028791,0.01066136,0.01045065,0.01079678,0.01103049,0.09006216,0.18926904,0.05203639,0.07502703,0.04017406,0.29618976,0.10489495,0.13883711,0.11016175,0.02386723,0.01001135,0.04048344,0.32525745,0.01037196,0.01023304,0.01007488,0.0101656
0.55,0.03203711,0.03008877,0.01647184,0.01197512,0.02457605,0.02650788,0.01330503,0.11916089,0.08441295,0.06810889,0.02767212,0.06435405,0.08816798,0.48873904,0.01269197,0.01215523,0.0143125,0.04910582,0.03237191,0.02763079,0.05112271,0.04813834,0.04588358,0.01853209,0.19761175,0.13091435,0.07490198,0.09441774,0.15592816,0.47309873,0.1935003,0.13848683,0.01543836,0.12047982,0.10577646,0.14868733,0.05150063,0.01027432,0.0100757,0.16928504,0.08132891,0.1243296,0.03012952,0.01603866,0.09754416,0.0742855,0.02450829,0.05216263,0.1201622,0.09658721,0.01685311,0.01093675,0.010054,0.01002635,0.01450155,0.01420512,0.0332408,0.01009953,0.01027936,0.01136092,0.01026973,0.01037186,0.01062435,0.0759644,0.157786,0.04348882,0.06255833,0.03357595,0.246886,0.12203028,0.1157787,0.09180607,0.02000619,0.01001514,0.03378663,0.30078139,0.01562176,0.01600411,0.01607808,0.01598528
0.56,0.02675593,0.02531614,0.01375081,0.01018136,0.02049917,0.02213771,0.01110553,0.09933026,0.07035986,0.05678537,0.02344643,0.06327067,0.10160877,0.55894144,0.01073066,0.0102619,0.01195287,0.07076001,0.02711425,0.02306822,0.04446252,0.04741199,0.03860202,0.01549845,0.16528891,0.10916283,0.06247524,0.07874195,0.13118033,0.394418,0.16134315,0.11541953,0.01288287,0.13200166,0.23962836,0.12391206,0.07719611,0.04756339,0.05147429,0.15679091,0.13289141,0.16784852,0.02518867,0.01346071,0.08169058,0.09378716,0.02044431,0.04373967,0.13061256,0.08101068,0.01492393,0.01059402,0.01006169,0.0100307,0.01214993,0.01187453,0.02772679,0.01012834,0.01019478,0.01020557,0.01049311,0.01051746,0.0104837,0.08304848,0.14367218,0.03641226,0.05218635,0.02802625,0.23165732,0.11909791,0.09669576,0.07655799,0.01672642,0.01001626,0.02831998,0.26066691,0.01321281,0.01345607,0.0134398,0.0134116
0.57,0.0223732,0.0268144,0.01149774,0.01011887,0.01710515,0.01849994,0.01004023,0.08280767,0.05864714,0.04734758,0.03516237,0.07499769,0.08482509,0.66688495,0.01020561,0.01011602,0.01007715,0.06344176,0.02275041,0.01926523,0.09763873,0.07037992,0.03262167,0.01299423,0.33148263,0.09104223,0.05208949,0.06569745,0.2085128,0.32871898,0.13457921,0.09618778,0.01076563,0.11199727,0.23232465,0.10326567,0.07484039,0.03971955,0.04291832,0.29176436,0.11143815,0.14025787,0.0210495,0.01136403,0.06824914,0.07933939,0.01706136,0.03681387,0.10916072,0.0681829,0.01345154,0.01042367,0.01004406,0.01002219,0.0103074,0.01011397,0.02313054,0.01015684,0.01022259,0.01022023,0.01064737,0.01062648,0.01055262,0.07026397,0.12424647,0.03235804,0.04372319,0.02344099,0.19363027,0.09940605,0.0810204,0.06380547,0.01399748,0.01001509,0.02374178,0.21736416,0.01126026,0.01224246,0.01196574,0.01211873
0.58,0.01874755,0.02369418,0.01013469,0.01013921,0.01428645,0.01547961,0.01005163,0.06904122,0.04888737,0.03947987,0.02955157,0.07976514,0.07260451,0.79991969,0.01025451,0.01014178,0.01008215,0.16811564,0.01921639,0.01610542,0.10227926,0.0763607,0.02764434,0.01099669,0.27693475,0.08877208,0.05116631,0.05484144,0.17404882,0.27394964,0.11224944,0.09166414,0.01008912,0.09338309,0.23481826,0.08605859,0.06273946,0.0331475,0.03577825,0.31760358,0.09309646,0.11705792,0.01759222,0.01019914,0.05697749,0.06666417,0.0142619,0.03196472,0.09135694,0.05717055,0.01344282,0.01107952,0.01015704,0.01008671,0.01035629,0.01014985,0.01930465,0.01015457,0.01027251,0.01036491,0.0105907,0.01075042,0.01085632,0.05972675,0.10500718,0.03641618,0.03873101,0.02030952,0.22082859,0.08285577,0.09428602,0.05322222,0.01177049,0.01004508,0.02001146,0.18130381,0.010992,0.01046744,0.01013778,0.0103358
0.59,0.01578821,0.02078829,0.01017149,0.01015479,0.0119655,0.01298901,0.01004807,0.05757315,0.04074988,0.03292162,0.02472998,0.0666606,0.07594753,0.77509972,0.01023648,0.01013644,0.01007758,0.25392121,0.01642438,0.01349064,0.16053115,0.0748392,0.02344897,0.01046254,0.23776465,0.07712023,0.04265697,0.04581459,0.14524836,0.22830103,0.09362312,0.07639199,0.01011415,0.07782069,0.23236584,0.07172066,0.05237884,0.02764791,0.02982219,0.3113672,0.07774199,0.09767928,0.01472527,0.01024161,0.04757497,0.05598329,0.01703066,0.07486248,0.08062032,0.04821057,0.01334249,0.01119705,0.01107849,0.01054206,0.01080536,0.0102318,0.01613338,0.01016388,0.01032686,0.0105727,0.01056913,0.01077315,0.011039,0.10466989,0.08783089,0.03684295,0.0374698,0.0855364,0.18429271,0.06906127,0.10800199,0.08789993,0.01525453,0.01007414,0.01684159,0.15500183,0.01116693,0.01011733,0.01004237,0.01008948
